original,translate
#Combat Manuevers,#战斗 maneuvers
Wild Swing,狂野挥击
Executes an Attack with +4 bonus to Damage,造成+4伤害加值的攻击
Critical Strike,重击
Executes an Attack that automatically scores a Critical Hit if successful,如果成功攻击，自动造成重击
Defend Ally,保护盟友
Mark Target,标记目标
The Target gets the Marked Condition which confers a -2 penalty to Dodge for the rest of the encounter,目标获得标记状态，持续整个遭遇战，受到-2闪避惩罚
Radiate Fear,恐惧之辐射
Blizzard Aura,冰霜光环
Aura of Fire,火焰光环
Fire Lance,火焰长矛
Howl of Terror,恐怖嚎叫
Lightning Lash,闪电鞭击
Spit Acid,喷吐酸液
Spit Poison,喷吐毒素
Spray Acid,喷吐酸雾
Attack!,攻击！
Forwards!,前进！
Regroup!,重组！
Stand Your Ground!,站稳脚跟！
Precise Strike,精确一击
Rapid Shot,连射
The character makes a ranged attack,角色进行远程攻击
"If that attack is successful, they may make another, free attack",如果该攻击成功，他们可以再进行一次免费攻击
Pierce Armor,穿甲
Vein Strike,血脉一击
Savage Strike,残暴一击
Shake the Earth,地动山摇
Shield Rush,屏风冲锋
Perform an attack that pushes your opponent back one square if successfull,如果成功，进行一次攻击将对手后退一格
Deals normal damage,造成正常伤害
Spellburn,法术灼烧
Storm of Steel,钢铁风暴
Stunning Blow,令人眩晕的打击
Thrust And Parry,穿刺与格挡
Dash,疾跑
Hide in Combat,战斗中潜行
You gain the ability to hide whilst in Combat,你在战斗中获得潜行的能力
Attacking whilst hidden triggers the Backstab attack,隐藏时攻击会触发背刺攻击
Infect,感染
Ice Breath,冰霜吐息
Imperial Litany,帝国圣咏
Hamstring,折断腿筋
Second Wind,第二口气
#Passive Abilitiy,#被动能力
Backstabber,背刺者
Allows the character to perform Backstab Attacks against voulnerable targets,允许角色对易伤目标进行背刺攻击
Evasive,机敏
Disengaging from Melee does not cause your turn to end,从近战中脱离不会导致你的回合结束
Fancy Footwork,精妙步法
Swapping Places with allies not longer causes your Turn to end,与盟友互换位置不再导致你的回合结束
Activate Spellcasting,激活施法
Allows the character to begin studying schools of spellcasting,允许角色开始研究施法流派
"To learn spells, pick and invest in one or more such schools",要学习法术，选择并投资一个或多个此类流派
Increased Agiliy,增强敏捷
Increased Heavy Armor Use,增强重型盔甲使用
Increased Light Armor Use,增强轻型盔甲使用
Increased Medium Armor Use,增强中型盔甲使用
Increased Athletics,增强体能
Increased Attunement,增强共鸣
Spell Aura Radius Increase,法术光环范围扩大
Increased Awareness,增强感知
Increased Backstab Damage,增强背刺伤害
Pack Mule,骡马
Increased Crafting,增强制作
Critical Resistance,临战抵抗
Increased Diplomacy,增强外交
Increased Dodge,增强闪避
Fletching,弓工
Doubles the chance of recovering a spent arrow after combat,战斗后有双倍几率回收耗尽的箭矢
Increased Fortitude,增强坚韧
Increased Gold Drops,增加黄金掉落
Increased Healing,增强治疗
Increased Initiative,增强先攻
Increased Intellect,增强智力
Increased Lore,增强知识
Increased Max Cascade,增强最大连锁反应
Increased Movement,增强移动速度
Increased Presence,增强威压
Increased Spell Aptitude,增强法术天赋
Increased Stealth,增强潜行
Increased Strength,增强力量
You are powerfully built,你体格强壮
to Strength Primary Attribute,主属性为力量
Survival Increase,生存能力提升
Increased Thievery,增强盗贼技能
Increased Toughness,增强坚韧
Increased Vitality,增强生命力
Increased Will,增强意志力
Charger,冲锋者
Axe Finesse,斧头灵巧
Blade Finesse,刀剑灵巧
Bow Finesse,弓箭灵巧
Club Finesse,棍棒灵巧
Light Weapon Finesse,轻武器灵巧
Vicious,凶猛
Axe Damage,斧头伤害
Blade Damage,刀剑伤害
Bow Damage,弓箭伤害
Club Damage,球棒伤害
Brutal,威猛
Heavy Weapon Damage,重型武器伤害
Light Weapon Damage,轻型武器伤害
Piercing Damage,穿刺伤害
Phalanx,方阵
"While wielding a shield, get a dodge bonus for adjacent allies",使用盾牌时，为相邻盟友获得闪避加成
Bonus is +1 per ally up to a maximum of the Phalanx Bonus attribute value (typically,加成值为每名盟友+1，上限为方阵加成属性值（通常）
Shield Training,盾牌训练
Acid Immunity,酸液免疫
Blindness Immunity,盲目免疫
Cold Immunity,寒冷免疫
Critical Immunity,重击免疫
Deafness Immunity,耳聋免疫
Disease Immunity,疾病免疫
Lightning Immunity,雷电免疫
Fire Immunity,火焰免疫
Non Magical Damage Immunity,非魔法伤害免疫
Panic Immunity,恐慌免疫
Paralysis Immunity,麻痹免疫
Poison Immunity,毒免疫
Sleep Immunity,睡眠免疫
Fell Illumination,强化照明
Multi Attack,连续攻击
Gain 1 extra Attack per Turn,每回合多一次攻击
Greater Increased Attunement,更强的附魔增强
Major Natural Armor,重大自然护甲
Medium Natural Armor,中等自然护甲
Minor Natural Armor,轻微自然护甲
Greater Natural Weapons,更强的自然武器
Natural Weapons,自然武器
Point Blank Shot,近战射击
You can use Ranged Weapons even when in Melee,你可以在近战时使用远程武器
Resistance,抗性
Slashing,斧劈伤害
Blunt,撞击伤害
Piercing,穿刺伤害
Magical,魔法伤害
Cold,冰冷伤害
Acid,酸性伤害
Kinetic,动能
Sublime,绝妙
Electric,静电
Fire,火焰
Psychic,心灵
Minor Resistance,轻微抗性
Lightning,雷电
Physical,物理
Increased Aura Radius,增强光环范围
Increased Line Effects,增强直线效果
Increased Sphere Effects,增强球形效果
Air Magic Focus,空气法术专注
Bardic Magic Focus,吟游诗人法术专注
Body Magic Focus,身体法术专注
Earth Magic Focus,地土法术专注
Fire Magic Focus,火焰法术专注
Mind Magic Focus,心灵法术专注
Nature Magic Focus,自然法术专注
Spirit Magic Focus,灵魂法术专注
Axe Accuracy,斧头精准度
Blade Accuracy,刀剑准确性
Bow Accuracy,弓箭准确性
Club Accuracy,棍棒准确性
General Accuracy,一般准确性
Heavy Weapon Accuracy,重型武器准确性
Light Weapon Accuracy,轻型武器准确性
Melee Accuracy,近战准确性
Ranged Accuracy,远程准确性
Vulnerability,易伤
Cold,寒冷易伤
Sublime,神圣易伤
Bonus XP Percentage,敏捷加成百分比
Blessing of Agility,敏捷祝福
Blessing of Fortitude,坚韧祝福
Blessing of Intellect,智力祝福
Blessing of Presence,威严祝福
Blessing of Strength,力量祝福
#Spells,可施展法术数量
Spells,法术
Armor of Thorns,刺棘护甲
Heroic Aura,英雄光环
Aura of Condemnation,审判光环
Aura of Fear,恐惧光环
Miasma,污气
Aura of Silence,沉默光环
Searing Light,燃烧之光
Smothering Blanket,窒息毯
Sight to Behold,视界之光
EYE-SHINE,EYE-SHINE
Eye-Shine,眼光
Fire Sprite,火精灵
Fireworks,烟花
Heroic Tune,英雄之歌
Now you See Me,现在你看见我
Lambent Dance,闪耀之舞
Lifting Tune,提升之歌
Light Please,请亮灯
RAISE THE CURTAIN,拉开帷幕
Raise the Curtain,拉开帷幕
Shadow Step,影步
Song of Soothing,安抚之歌
Sparkledust,闪烁尘
Whisper of Confusion,令人困惑的低语
Barkskin,树肤术
Bear's Strength,熊之力量
Blessing Aura,光辉祝福
Blessing Touch,触摸祝福
Blink,瞬移
Mark of Blurring,模糊标记
Breath Glass,玻璃之息
Blinding Bolt,盲目之击
Circle of Corporeal Restoration,肉身恢复圈
Circle of Healing,治疗恢复圈
Circle of Mental Restoration,心智恢复圈
Clear Senses,清晰感官
Command of Paralyzation,僵直命令
Cure Moderate Disease,治疗中度疾病
Heal Mind,治疗心灵
Fleet of Foot,轻盈脚步
Cure Moderate Poison,治疗中度毒素
Diamond Form,玻璃形态
Dispel Magic,驱散魔法
Distort Mass,质量扭曲
Divine Intervention,神恩赐
Aura of Flame,火焰光环
Fireball,火球术
Breath of the Ancients,古老之息
Flaming Fists,火焰之拳
Fire Frenzy,火焰狂热
Inferno,炎狱
