original,translate
#Armor,#盔甲
Heavy Armor Use,重型盔甲使用
Reduced the encumberance of the armor when using this type of armor,使用这种类型的盔甲时，减少了负重
Light Armor Use,轻型盔甲使用
Mage Armor Use,魔法盔甲使用
Medium Armor Use,中型盔甲使用
Shield Use,屏风使用
Added to Dodge when using a shield,使用屏风时，增加闪避值
Unarmored Mastery,无甲精通
Added to Dodge when unarmored,无甲时，增加闪避值
#Combat Attributes,#战斗属性
Crit Chance,临战几率
Describes the percentage of Hits that are upgraded to Critical Hits,描述击中转化为致命一击的百分比几率
Melee Dmg,近战伤害
A bonus that is added to the melee damage range based on the characters strength,根据角色的力量值，添加到近战伤害范围的额外增益
This is added to the current weapon's damage range for a total damage range,这个数值与当前武器的伤害范围相加，形成总伤害范围
Initiative,先攻
Initiative determines who goes first in combat,先攻决定了战斗中谁先行动
Melee To Hit,近战命中
The character's skill at attacking with melee weapons,角色使用近战武器的攻击技巧
Determines hit chance,确定命中几率
Ranged To Hit,远程命中
The characters skill at attacking with ranged weapons,角色使用远程武器攻击的技巧
#ConditionResistances,#条件抗性
Blindness Resistance,盲目抗性
Resistance to a condition represents the percentage chance to avoid contracting the condition,条件抗性代表避免受到该条件影响的百分比几率
An attribute value of 100% or above means immunity to the condition in question,条件值为100%或以上表示对该条件具有免疫
Charm Resistance,迷惑抗性
Confusion Resistance,混乱抗性
Crit,临杀
Hits Resistance,击中抗性
Deafness Resistance,耳聋抗性
Disease Resistance,疾病抗性
Immobilization Resistance,固定抗性
Insanity Resistance,疯狂抗性
Panic Resistance,惊慌抗性
Paralysis Resistance,麻痹抗性
Poison Resistance,毒素抗性
Silence Resistance,静默抗性
Sleep Resistance,睡眠抗性
#DamageBonuses,#伤害加成
Damage Bonus vs,伤害加成 vs
Abominations,恶魔生物
Creature Damage bonuses increase the Damage dealt against certain types of creatures,生物的伤害加成会增加对特定类型生物造成的伤害
Animals,动物
Undead,亡灵
Vermin,虫族
Magic Damage Bonus,魔法伤害加成
Damage bonuses increase the Damage dealt when using the indicated attack type,伤害加成会在使用指定攻击类型时增加造成的伤害
Melee Damage Bonus,近战伤害加成
Ranged Damage Bonus,远程伤害加成
Unarmed Damage Bonus,无武器伤害加成
Acid Damage Bonus,酸性伤害加成
Damage Type bonuses increase the Damage dealt when the Damage is of the indicated type,伤害类型加成会在伤害为指定类型时增加造成的伤害
Blunt Damage Bonus,冲击伤害加成
Cold Damage Bonus,冰霜伤害加成
Corruption Damage Bonus,腐蚀伤害加成
Fire Damage Bonus,火焰伤害加成
Kinetic Damage Bonus,动能伤害加成
Piercing Damage Bonus,穿刺伤害加成
Slashing Damage Bonus,刺击伤害加值
Sublime Damage Bonus,绝美伤害加值
Axe Damage Bonus,斧头伤害加值
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,武器伤害加值会在使用指定类型的武器时增加造成的伤害
Bow Damage Bonus,弓箭伤害加值
Club Damage Bonus,棍棒伤害加值
Heavy Weapon Damage Bonus,重型武器伤害加值
Light Weapon Damage Bonus,轻型武器伤害加值
Medium Weapon Damage Bonus,中型武器伤害加值
Polearm Damage Bonus,长柄武器伤害加值
Sword Damage Bonus,剑伤害加值
#DamageResistances,#抗伤害
Energy Damage Resistance,能量抗伤害
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,抗伤害会减少特定类型伤害的入伤，减少的百分比等于属性值
A value of 100% or higher means immunity to this damage type,抗伤害值为100%或更高表示对该伤害类型的免疫
A negative value means a vulnerability to the damage type,抗伤害值为负数表示对这种伤害类型的脆弱性
"If this is the case, incoming Damage will be increased",如果是这种情况，入伤将会增加
Magical Damage Resistance,魔法抗伤害
Non-Magical Damage Resistance,非魔法抗伤害
Physical Damage Resistance,物理抗伤害
Acid Damage Resistance,酸性伤害抗性
Cold Damage Resistance,冰霜伤害抗性
Corruption Damage Resistance,腐蚀伤害抗性
Electric Damage Resistance,电击伤害抗性
Fire Damage Resistance,火焰伤害抗性
Kinetic Damage Resistance,动能伤害抗性
Sublime Damage Resistance,卓越伤害抗性
Blunt Damage Resistance,击打伤害抗性
Piercing Damage Resistance,穿刺伤害抗性
Slashing Damage Resistance,切割伤害抗性
Psychic Damage Resistance,心理伤害抗性
#Defences,#防御
Dodge,角力
DODGE,DODGE
The ability to avoid incoming attacks and other reflex-based dangers,逃避即将来临的攻击和其他反应性危险的能力
"In other words, this determines how hard a character is to hit",换句话说，这决定了角色有多难被击中
Toughness,坚韧
The character’s ability to withstand adverse physical effects such as disease and poison,角色抵御不利物理效果（如疾病和毒药）的能力
Willpower,忍力
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,忍力描述了角色抵御心灵影响条件（如法术引起的效果）的能力
#HitBonuses,#命中加值
Bonus - Axes,命中加值 - 斧头
Critical bonuses increase your critical chance for the indicated weapon type,临战加值会增加你使用指定武器类型时的临战几率
Bonus - Bows,命中加值 - 弓
Bonus - Clubs,命中加值 - 棍棒
Bonus Light,命中加值 - 易燃
This bonus applies to Light Weapons,此加值适用于易燃武器
Bonus - Blades,命中加值 - 刀剑
Bonus - Unarmed,命中加值 - 无武器
Hit Bonus - Maneuvers,命中加值 - 技能
Maneuver Hit Bonuses are added to the To Hit roll when performing Combat Maneuvers,技能命中加值会在执行战斗技能时加入命中骰
Hit Bonus - Abominations,命中加值 - 恶魔生物
Creature Hit Bonuses are added to the To Hit roll when attacking the indicated creature type,对象命中加值会在攻击指定生物类型时加入命中骰
Hit Bonus - Animals,命中加值 - 动物
Hit Bonus - Undead,命中加值 - 亡灵
Hit Bonus - Vermin,命中加值 - 虫族
Hit Bonus - Axes,命中加值 - 斧头
Weapon Hit Bonuses are added to the To Hit roll when using weapons of the indicated type,武器命中加值会在使用指定类型的武器时加入命中骰
Hit Bonus - Bows,命中加值 - 弓
Hit Bonus - Clubs,命中加值 - 棍棒
Hit Bonus - Heavy Weap,近战攻击加值 - 重型武器
Hit Bonus - Light Weap,近战攻击加值 - 轻型武器
Hit Bonus - Medium Weap,近战攻击加值 - 中型武器
Hit Bonus - Polearms,近战攻击加值 - 长柄武器
Hit Bonus - Blades,近战攻击加值 - 刀剑
Hit Bonus - Unarmed,近战攻击加值 - 无武器
#MagicAttributes,#魔法属性
Magical Attributes,魔法属性
MAGICAL ATTRIBUTES,魔法属性
Attributes involved in spell-casting,与施法相关的属性
Attunement,调和
Describes a character's magical energy and determines how many spells can be cast,描述角色的魔法能量，并决定可以施放多少法术
Attunement refills fully when the character rests in a camp,调和在角色在营地休息时会完全恢复
Note that different classes use different root abilities for Attunement,请注意，不同的职业使用不同的基础能力来进行调和
Magical Aptitude,魔法天赋
MAGICAL APTITUDE,魔法天赋
The Magical Aptitude score is added to the numerical value of spells such as the amount of damage dealt or vitality healed,魔法天赋分数会加到诸如法术造成的伤害量或恢复的生命值等数值上
Max Cascade,最大连锁反应
MAX CASCADE,最大连锁反应
The maximum numbers of spells a spellcaster can cast in a single turn due to Cascade effects,施法者因连锁反应效果在一回合内可以施放的最大法术数量
Magic Schools,魔法学派
The Schools of Magic,魔法学派
The value of this attribute indicates the maximum tier of spell from that school the character may cast,该属性值表示角色可以施放的来自该学派的最大法术等级
Aura Radius,法术光环半径
"If non-zero, this number is added to the radius of your spells with Aura-shaped area of effects",如果非零，此数值将加到你具有光环形区域效果的法术的半径上
Line Range,线形范围
"If non-zero, this number is added to the width and length of your spells with Line- and Cone-shaped areas of effects",如果非零，此数值将加到你具有线形和锥形区域效果的法术的宽度和长度上
Sphere Radius,球形范围
"If non-zero, this number is added to the radius of your spells with Sphere-shaped area of effects",如果非零，此数值将加到你具有球形区域效果的法术的半径上
#MagicSchools,#魔法学派
Air Magic School,空气魔法学派
The value of this attribute indicates the highest Spell Tier of Air magic spells you may cast,该属性值表示你可以施放的最高空气魔法法术等级
Bardic Magic School,吟游诗人魔法学派
The value of this attribute indicates the highest Spell Tier of Bardic magic spells you may cast,该属性值表示你可以施放的最高吟游诗人魔法法术等级
Body Magic School,身体魔法学派
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,该属性值表示你可以施放的最高身体魔法法术等级
Earth Magic School,地面魔法学派
The value of this attribute indicates the highest Spell Tier of Earth magic spells you may cast,该属性值表示你可以施放的最高地面魔法法术等级
Fire Magic School,火焰魔法学派
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,该属性值表示你可以施放的最高火焰魔法法术等级
Mind Magic School,心灵魔法学派
The value of this attribute indicates the highest Spell Tier of Mind magic spells you may cast,该属性值表示你可以施放的最高心灵魔法法术等级
Nature Magic School,自然魔法学派
The value of this attribute indicates the highest Spell Tier of Nature magic spells you may cast,该属性值表示你可以施放的最高自然魔法法术等级
Spirit Magic School,灵魂魔法学派
The value of this attribute indicates the highest Spell Tier of Spirit magic spells you may cast,该属性值表示你可以施放的最高灵魂魔法法术等级
#PrimaryAttributes,#主要属性
Agility,敏捷
"A measure of hand-eye coordination, nimbleness and dexterity",手眼协调、灵巧和灵巧度的衡量标准
Describes how tough and resilient a character is,描述角色的坚韧和适应能力
Intellect,智力
"Mental acuity, recall and analytical skill",心智敏锐度、记忆和分析能力
Presence,气场
A character's ability to read and react to the surrounding environment and people,角色读取和应对周围环境及人物的能力
Strength,力量
A measure of a character's brawn and physical power,角色体魄和物理力量的衡量标准
#SecCombatAttributes,#次要战斗属性
Arrow Recovery,箭矢回收率
The percentage chance that an arrow fired by the character in combat can be recovered and reused,角色在战斗中射出的箭矢有百分之多少有机会被回收再使用
Attack Count,攻击次数
The number of Attacks the character can potentially perform in a full round of combat,该角色在一整个战斗回合中可能进行的攻击次数
"Typically a character cannot perform multiple Attacks if they also move, or perform move-equivalent actions the same turn",通常情况下，如果角色在同一回合中移动或执行等同于移动的动作，他们无法进行多次攻击
Backstab Bonus,背刺加成
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage",如果成功进行背刺攻击，此属性将乘以武器的暴击倍数并加入总伤害
Carrying Bonus,背负加成
