original,translate
#Backgrounds,#背景
Acolyte,侍奉者
You claim a connection with the divine that goes far deeper than most,你与神灵的联系比大多数人要深得多
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic",无论这种联系是否正当，你总是准备好传播神圣的智慧；无论是帝国的福音还是异端的胡言乱语
Thug,暴徒
"Punch first, ask questions later",先打后问
You have perfected the noble art of solving problems with brute force,你已经完美掌握了用蛮力解决问题的高贵艺术
Courtier,朝臣
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,在帝国世俗法庭上亲吻贵族屁股的经历使你成为穿梭于残酷政治中的大师
Criminal,犯罪者
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,你是帝国繁盛地下世界中备受尊敬的成员，特别擅长进出不该去的地方
Fortune's Fool,命运的愚者
Deluxe Edition class,高级版职业
You have unnaturally good luck and seem to find much more gold than others after combat,你拥有超自然的好运，在战斗后似乎能找到比其他人更多的金币
Savant,神童
You’re a very fast learner and advance more rapidly through levels,你学习非常快，等级提升得更快
Scout,侦察兵
You’re remarkably fleet of foot,你脚步异常轻盈
Entertainer,娱乐者
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers",在帝国的富人中，游历的娱乐者既被憎恨又被崇拜，他们凭借耀眼的魅力和敏捷的手指可以赚取不少钱财
Guilder,行会成员
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age",就像许多年轻的帝国中充满希望的成员一样，你较早的时候就被招募进了公会服务
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'",如俗语所说，为显赫的公会工作往往会让你“腰缠万贯，满手血腥”
Laborer,劳工
You’ve spent years toiling under the oppressive yoke of hard labor,你多年来在沉重的劳役下辛勤劳作
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship",虽然这可能没有给你留下多少口袋里的硬币，但它赋予了你对苦难的异常抵抗力
Ex-Legionary,前军团兵
A member of the ‘old breed’; forged and tempered by the hardships of soldiering,一名‘老兵’；在士兵生涯中的艰难困苦中锻造和磨砺
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,你现在属于越来越多的同伴，他们拥有伤痕累累的身体和破碎的头脑，在帝国中四处游荡，寻找一片可以称之为家的宁静土地
Sellsword,剑士
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries",随着帝国昔日辉煌的军团衰落，这是一个雇佣兵的时代
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,没有人愿意为专业人士支付报酬去对他人施暴，而你非常擅长这份工作
Monastic,修道士
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,你曾在一个帝国的围城修道院中为神圣的教团服务
Pray the world has not grown too cruel in your absence,希望世界在你缺席期间没有变得过于残酷
Noble,名门贵族
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses",一个古老的血脉个体，你早就明白财富和关系往往能打开对肮脏的大众来说关闭的门
Sailor,水手
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,你听从了风暴之母的呼唤，现在你的血液中流淌着咸水
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea",不论是在公会帆船的甲板上，还是在简陋的捕鱼帆船上操帆，当你在海上时，你感觉最自在
Street Rat,街头混混
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,在帝国广阔城市的艰难街头度过了你形塑性格的岁月，使你拥有了超自然的生存直觉
No crime is too petty - no meat too mysterious,没有什么罪行是太微不足道的，没有什么肉类是太神秘的
Vagabond,流浪者
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place",你大部分青少年时期都在路上度过，是一个自由的灵魂，没有对任何人的忠诚，也没有对任何地方的归属感
"Drifting from place to place, you go where there is work, food and a warm bed to be had",你四处漂泊，只去有工作、食物和温暖床铺的地方
Wildling,野蛮人
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk",当文明的光芒逐渐消逝，帝国的广袤 wilderness开始侵蚀文明人
Thankfully you don’t count yourself among those,幸运的是，你并不属于那些人
The sky is your temple and the howling of wolves your litany,天空是你的神殿，狼嚎是你诵读的祷文
Nomad,游牧民
"You’ve spent years across the seas, living with the desert nomads",你多年来漂泊在海上，与沙漠游牧民生活在一起
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship",虽然始终是个局外人，但游牧民认为你值得信赖，把你接纳为他们异教火祭秘密仪式的入会者
Snake-Cultist,蛇教徒
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,在黑暗的地窖和隐秘的神殿中与蛇共舞，使你对蛇的吻免疫
#NPC Backgrounds,#NPC背景
Citizen,市民
Craftsman,手艺人
Farmer,农夫
Fisherman,渔夫
Guild Sailor,行会水手
Insane,疯狂的
Official,官方的
Refugee,难民
Servant,仆人
Vagrant,流浪者
Shipwrecked,船难幸存者
