original,translate
#Animals,#野兽
Chicken,鸡
Dog,狗
The dog is roaming around restlessly,狗不安地四处游荡
Goat,山羊
#Common Humanoids,#常见人形生物
Commoner,平民
Guard,守卫
Guest,来宾
Scullion,厨房杂役
Good evening m'lord,晚上好，大人
Good evening m'lady,晚上好，女士
the red-faced scullion bows slightly,面红耳赤的厨房杂役微微鞠躬
Servants,仆人
Henchman,忠实随从
Brigand Archer,强盗弓箭手
Brigand Rogue,强盗盗贼
Brigand Swordsman,强盗剑士
Child,孩子
Jester,小丑
Farmer,农夫
Fruit-Picker,摘果者
FRUIT-PICKER,摘果者
Handmaid,女侍
Crewmember,船员
Refugee,流亡者
"A ragged, hungry refugee from Horryn",来自霍林的一名衣衫褴褛、饥饿的流亡者
Treasure Hunter,寻宝者
Fire-Spitter,火焰喷射者
Mercenary,武士
"The mercenary looks at you, menacingly",武士怒视着你
Armorer,铠甲匠
Arms Merchant,武器商
Food Merchant,食物商
Potion Merchant,法术商
Reagent Merchant,药剂商
Spell Merchant,魔法商
Trinket Merchant,珍奇物商
Pilgrim,朝圣者
Reaver Berserker,剥夺者狂战士
Reaver Brute,攫魂壮汉
Reaver Scout,攫魂斥候
Reaver,攫魂者
Reaver Blackguard,攫魂恶僧
Reaver Mystic,攫魂巫师
Cultist,教派信徒
Prisoner,狱卒
Wretch,废物
Sailor,水手
Captain,船长
Mad Sailor,疯狂水手
Mad Sailo,疯狂水手
Guild Magos,行会魔导士
Guild Mag,行会魔导士
Wight,僵尸巫医
Apprentice,学徒
Feral Clone,野性克隆体
#Monsters,#怪物
Giant Bat,巨蝙蝠
Giant Beetle,巨型甲虫
Rhino Beetle,犀牛甲虫
Carrion Crawler,腐肉爬行者
Giant Centipede,巨型蜈蚣
Fell Crab,深渊螃蟹
Corpse Eater,尸体吞噬者
Giant Crab,巨型螃蟹
Crab,螃蟹
Rot Crab,腐烂螃蟹
Spider Crab,巨型蜘蛛蟹
Brood Guard,群落卫士
Father,父亲
Deep One Priestess,深渊女祭司
Deep One Queen,深渊女王
Deep One Warrior,深渊战士
Devolved,退化者
Ghoul,僵尸
Frost Ghoul,寒霜僵尸
Giant Gnat,巨型蚋
Cave Gnat,山洞蚋
Fell Hog,深渊野猪
Dire Hound,神秘猎犬
Fell Hound,恶灵猎犬
Ice Hound,冰霜猎犬
Ice Strider,冰霜行者
Shadow Stalker,影踪追踪者
Giant Leech,巨型吸血蠕虫
Albino Leech,白化吸血蠕虫
Bloodletter,血泵
Fell Lizard,恶灵蜥蜴
Alpha Lizard,领主蜥蜴
Giant Lizard,巨型蜥蜴
Ice Salamander,冰霜火蜥蜴
Mold Child,畸变儿
Ooze,浑浊物
Flesh Ooze,肉块
Medusa Jelly,美杜莎果冻
Risen Ooze,复活的浑浊物
Magma Ooze,岩浆浑浊物
Magmite,岩浆
Large Ooze,大型浑浊物
Giant Rat,巨鼠
Dire Rat,强壮鼠
Chitters-In-Darkness,深暗之嗤
Rabid Rat,狂暴鼠
Shade,阴影
Dire Serpent,强壮巨蛇
Fell Serpent,堕落巨蛇
Giant Snake,巨型毒蛇
Fleshstrider,肉行者
Flying Polyp,飞行的多波
Dragon's Herald,龙之使者
Evolved,进化
Newborne,新生
Vessel,载体
Stalker,跟踪者
Giant Spider,巨型蜘蛛
Large Spider,大型蜘蛛
Shambler,摇摇行者
Frost Shambler,寒霜摇摇行者
#Unique Humanoids,独特的人形生物
Big Lorn,大洛恩
Arra the Trader,阿拉商人
Doran the Pilot,罗兰飞行员
Chef Armand,厨师阿曼德
Kydeon,克德翁
The scarred and graying veteran smiles varmly towards you,那位威严的老牧师朝你微笑
Calipero,卡利佩罗
Lyra,利拉
Malachai,马拉凯
Driina,德里娜
The imposing cleric turns to face you,那位威严的牧师转过身面对你
"There's a steely resolve in her eyes, but she gives you a warm, if sad smile by way of greeting",她眼中带着坚定，但依旧对你报以温暖而略带悲伤的微笑
Embla,伊姆bla
Bernard,伯纳德
Barmaid,侍酒女
Baroness of Firgol,菲戈尔伯爵夫人
PERT THE BEEKEEPER,裴特养蜂人
Pert the Beekeeper,裴特养蜂人
Ari,阿里
Cass,卡斯
Temmy,蒂米
Jeb,杰布
Vendor,商贩
Klara,克拉拉
Majordomo,首席仆人
Drummer,鼓手
Piper,吹笛人
Lutist,小提琴手
Camilla,卡米拉
Hierophant Drahl,传道者德拉
Albert,亚伯特
Blacksmith,锻铁匠
Quartermaster,供给官
Clothier,衣服商
Julia,朱莉娅
Ylia,伊莉亚
Martha,玛莎
Frantzo,弗朗佐
Captain Vivian,维维安船长
BOBBERT THE RECRUIT,波伯特·新兵
Bobbert the Recruit,沃伯特 新兵
Rat Queen,鼠后
Esteban,埃斯泰班
Armand,阿尔芒德
Art Peddler,艺术商
Merchant,商人
BOR THE SEWERJACK,波尔，下水道之王
Bor the Sewerjack,波尔，下水道之王
Cora,科拉
Natia,内蒂亚
Philip,菲利普
Iago,伊阿哥
Dono,朵诺
Anto,安托
Zhara,札拉
Iben,伊本
Chamberlain,使节
Markus,马库斯
Chamberlain to the governor of Idra,爱德兰省长的使节
Jakub,杰库布
Ella,埃拉
{addVocalBarkLocal|I've too much on my mind right now...},__PLACEHOLDER_0__
Giorgy,吉奥里
"A ragged man, caked in dirt",一个衣衫褴褛、满身泥土的男子
Marita,马丽塔
Lighthouse Keeper,灯塔看守人
Lon,伦
The camp's cook,集营的厨师
Hannah,哈annah
"On your way through the refugee camp you notice a woman and a pale-looking child huddled together beneath an old, worn blanket",在穿过难民营时，你注意到一名妇女和一个脸色苍白的孩子蜷缩在一块破旧的毯子下
Shepherd,牧羊人
Wreck Picker,废墟拾荒者
Kat,卡特
Maija,马ija
Andros,安德罗斯
Marsa,马尔萨
A young girl,一名年轻女孩
She's ragged and far to lean but she is smiling from ear to ear as she clutches her stuffed animal,她衣衫褴褛，身体歪斜，但脸上带着灿烂的笑容，紧紧抱着她的毛绒玩具
She's ragged and far to lean and looks like she's been crying recently,她衣衫褴褛，身体歪斜，看起来最近哭过
Mother Katak,卡塔克妈妈
"An old, silver-haired crone",一位年老的银发老妇
Thomas,托马斯
Oleg the Gray,奥列格·灰
OLEG THE GRAY,奥列格·灰
Red Kala,红卡拉
The Butcher,屠夫
Roland,洛兰德
Snow,雪
"The man called ""Snow"" by his crew, was once the first mate of the Zephyr",他的船员们称他为“雪”，曾是疾风号的副船长
Aaron,阿aron
Leva,利瓦
One of the wretched surviors from the Zephyr,疾风号上的一名悲惨幸存者
"The woman looks torn, tattered and exhausted",这名女子看起来支离破碎、破烂不堪且精疲力尽
"As you approach, she offers a tired, but grateful smile",当你走近时，她疲惫但感激地露出了微笑
Grigor,格里戈尔
"The man looks torn, tattered and exhausted",这名男子看起来支离破碎、破烂不堪且精疲力尽
As you approach the sailor shrinks back in terror whilst avoiding your gaze,当你走近水手时，他惊恐地后退，尽量避开你的目光
"As you approach the sailor offers a tired, but grateful smile",当你走近水手时，他疲惫但感激地露出了微笑
Jan,Jan
Andry,安德里
Carylla,卡莉拉
Tycho,蒂科
The Ancient King,古代国王
Joran the Usurper,篡位者约兰
,
Laborer (Human,普工（人类）
CHITTERS-IN-DARKNESS,黑暗之呢喃者（侏儒）
