original,translate
#Apperances,#出场
Carylla,Carylla
#Difficulties,#难度
Narrative,故事
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,故事模式是适合那些希望以最少的战斗和磨砺关注游戏故事和背景的玩家的难度设置
Easy,简易
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,简易模式是适合新手玩家体验这种角色扮演游戏的好方式，让他们体验Skald
Combat is forgiving and there should be little need to optimize character builds,战斗相对宽容，玩家不需要过多优化角色构建
Dice rolls are weighted in the player’s favor,骰子投掷偏向玩家
Normal,正常
Normal mode is the game’s intended difficulty setting,正常模式是游戏预设的难度设置
There is only very limited artificial smoothing of certain dice rolls,只有非常有限的骰子投掷的人工平滑
Hard,困难
Hard mode is intended to offer the player a challenge without feeling unfair,困难模式旨在为玩家提供挑战而不显得不公平
Dice rolls are slightly weighted in the opponent's favor making them more deadly,骰子投掷稍微偏向对手，使战斗更具致命性
#Encounters,#遭遇
Brigands,拦路强盗
You’ve been beset by brigands!,你们遭到了拦路强盗的袭击！
Stand and deliver!,站住，交出财物！
Abandoned Cargo,被弃置的货物
There is some abandoned cargo strewn on the road ahead of you,你面前的路上散落着一些被遗弃的货物
Horrors from the deep,深渊中的恐怖生物
You're being attacked by enormous fell-crabs!,你正被巨大的恶蟹攻击！
Crawlers,蠕虫
Foul creatures swarm from holes in the ground!,糟糕的生物从地下的洞穴中蜂拥而出！
Devolved,退化者
"More beast than man, devolved troglodytes charge towards you!",更多的野兽多于人类，退化者 troglodytes 向你冲锋！
Flotsam,漂浮物
You come across some flotsam,你发现了一些漂浮物
Avoid,避开
You avoid the encounter,你避开了这次遭遇
Giant Insects,巨型昆虫
Giant insects scurry towards you!,巨型昆虫向你爬来！
Giant insects swarm you!,巨型昆虫蜂拥向你！
White Hounds,白狗
Foul slavering beasts barrel towards you!,糟糕的流口水野兽向你冲来！
Crabs,蟹类
You're being swarmed by monsterously over-grown crabs!,你被巨大的畸形螃蟹淹没！
Rot Crabs,腐烂螃蟹
Horribly changes crustaceans shamble towards you!,变异的甲壳类生物蹒跚向你走来！
Spider Crabs,蜘蛛蟹
You're being charged by Spider-Crabs!,你被蜘蛛蟹冲击了！
Fell Hounds,深渊猎犬
You've been beset by prowling Fell-Hounds!,你被潜行的深渊猎犬围攻了！
Fell Hogs,深渊猪
Fell hogs have caught your scent!,深渊猪嗅到了你的气味！
Rats!,老鼠！
You're being swarmed by monsterously over-grown rats!,你被巨大的老鼠群淹没！
Reavers,海盗
You've been waylaid by Reavers!,你被海盗袭击了！
Reaver Patrol,海盗巡逻队
Reaver Raiding-Party,海盗劫匪小队
Giant Lizards,巨蜥
The lizards' jaws snap greedily as reptilian eyes fix you,巨蜥的 jaws 狠狠地咬下，爬行类的眼睛紧紧盯着你
Wandering Merchant,游商
A wandering armorer approaches!,一个游走的甲胄匠人接近了！
A wandering arms merchant approaches!,一个游走的武器商接近了！
A wandering food merchant approaches!,一个游走的食物商接近了！
A wandering potion merchant approaches!,一个游走的药剂商接近了！
A wandering reagent merchant approaches!,一个游走的试剂商接近了！
A wandering spell merchant approaches!,一位游走的法术商人出现了！
A wandering trinket merchant approaches!,一位游走的饰品商人出现了！
Shades,阴魂
"Darker than night, these creatures are pure malice",比夜更黑暗，这些生物纯粹是恶意
Snakes,蛇
There are snakes in the grass!,草丛中有蛇！
Serpents,蛇
Overgrown serpents slither towards you!,长大的蛇蜿蜒向你爬来！
Slithering Horrors,蜿蜒恐怖生物
Snow-Lizards,冰龙蜥
"Large, horned lizards leap from the snow to ambush you!",大型长角蜥蜴从雪中跃出，意图伏击你！
Creatures From Beyond,超越者生物
The Dragon is awakening!,龙苏醒了！
Giant Spiders,巨型蜘蛛
Venom drips from snapping jaws as monstrous spiders swarm towards you,咬合的利齿滴下毒液，巨大的蜘蛛群向你涌来
Enormous Spiders,巨型蜘蛛
Venom drips from snapping jaws as monstrously huge spiders swarm towards you,咬合的利齿滴下毒液，异常巨大的蜘蛛群向你涌来
The Frozen Dead,冰封死者
The restless corpses of those claimed by the frozen wastes shamble towards you,被冰封荒原夺去生命的不安息亡灵蹒跚向你走来
#Factions,#派系
Factions,派系
Unaligned,无派系
Village of Firgol,菲戈尔村
Nautical Guild,海上公会
House Berryn,伯林家族
Iago's Crew,伊戈的船员
Idran Refugees,艾德兰难民
The Hundred Sons,百子会
Zephyr Crew,赛斐尔船员
The Rat Queen's Court,老鼠王的宫廷
Oleg the Gray,奥列格·灰烬
Queen Kala,卡拉女王
The Butcher,屠夫
Reavers of Idra,艾德拉掠夺者
Zephyr Survivors,赛斐尔幸存者
#Map Meta-Data,#地图元数据
Firgol,菲戈尔
Before you lies a small village surrounded by fields and orchards,你面前是一个小村庄，四周是田野和果园
The air is laden with the scent of fruit and the laughter of children and the pastoral bliss stands in stark contrast to the rest of the Outer Isles,空气中弥漫着水果的香气和孩子们的欢笑声，田园般的宁静与外岛的其他地方形成了鲜明的对比
The Manor,庄园
The Mines,矿洞
Adler's Helm,阿德勒的头盔
Before you lies what appears to be closer to a fortified mining-camp than a town,你面前的似乎更像是一座加固的采矿营地，而不是城镇
The most striking detail are the wrecks of abandoned ships that lie just outside the town’s harbor,最引人注目的细节是停泊在城镇港口外的废弃船只残骸
Horryn,哈罗因
The Underhalls,地下厅
Horryn Castle,哈罗因城堡
The Crypt,坟墓
Horryn Sewers,哈罗因下水道
The Womb,孵生地
Walls of Horryn,哈罗因的城墙
"At the end of the rugged peninsula lies the small, walled fishing village of Horryn",在崎岖的半岛尽头，坐落着一座小而被围墙环绕的渔村——哈罗因
"Once home to hundreds, the town now lies seemingly deserted",从前这里住着数百人，现在城镇似乎荒废无人
"Whatever fate has befallen this place, you must be on you guard if you choose to enter it",无论这个地方发生了什么，如果你选择进入，一定要保持警惕
The Coastal Pass,海岸隘口
The Deep Forest,深林
"Besides the buzzing of insects and croaking of toads, the forest is disconcertingly quiet",除了昆虫的嗡嗡声和蟾蜍的呱呱声，这片森林出奇地安静
The foliage seems to thin slightly in this area and to the north-east you can make out a faint wisp of smoke rising from a chimney,林木似乎在这个区域稍微稀疏了一些，东北方向隐约可以看到烟囱冒出的一丝烟雾
"The foliage does however, seem to thin slightly in this area and to the north-east you can make out a faint wisp of smoke rising from a chimney",林木似乎在这个区域稍微稀疏了一些，东北方向隐约可以看到烟囱冒出的一丝烟雾
Forest Caves,森林洞穴
The Hidden Glen,隐秘谷地
A hidden glen nestled between two mountains,两座山峰之间的隐秘谷地
"Had you not known to look for it, you would have easily missed it",如果你不知道要寻找它，很容易就会错过
Shores of Idra,艾德拉海岸
Ahead of you lies the windswept shore where you landed on Idra and the abandoned farmsteam,你面前是被风吹拂的海岸，你在这里登陆艾德拉并发现了一座废弃的农场
The Foul Caves,腐臭洞穴
Lighthouse Exterior,灯塔外观
An ancient lighthouse rises steeply from the bluffs ahead of you,一座古老的灯塔从你面前的悬崖上陡峭地升起
"The beacon is still lit, though it flickers weakly",灯火仍然亮着，但闪烁得微弱
Under the Lighthouse,灯塔下方
Lighthouse,灯塔
Refugee Camp,难民营
"Before you, the unmistakable mess, squalor and desperation of a refugee camp sprawls around a small farmstead like a festering wound",你面前，难民营的混乱、肮脏和绝望如同溃烂的伤口，围绕着一座小农场蔓延开来
Coastal Road,海岸道路
Sea-Caves,海洞
"A huge sea-cave, created by eons of the sea’s relentless attack on the rock, gapes in the cliffs ahead",巨大的海洞，由数万年海洋的不断侵蚀在悬崖上形成，前方的岩石峭壁上豁然张开
"If you take great care, a narrow trail allows you to enter it",如果你小心谨慎，狭窄的小径允许你进入洞内
Wreck Site,残骸现场
Broken bodies and debris litter the rocky shores of Idra,碎裂的尸体和残骸散落在艾德拉的岩石海岸上
"In the distance, you can make out what appears to be the remains of the Zephyr's hull",在远处，你可以看出那似乎是“西风”号船体的残骸
Wreckage,废墟
The Berryn Estate,柏林庄园
The Cellar,地下室
The Outer Isles,外岛
Outer Isles,外岛
Excavation Site,掘址
Priory Crypt,修道院墓室
The Black Priory,永恒之门修道院
A grim edifice rises from the wastelands,一片阴森的建筑从荒原中拔地而起
"Its walls are weatherbeaten and its empty windows glare at you like dead, black eyes",它的墙壁被风吹雨打，空洞的窗户犹如死一般的黑眼珠盯着你
