original,translate
#Chapter 0,第0章
Man Over Board,船上有人落水
Roland fell overboard,罗兰落水了
An Old Boar,一头老野猪
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate",在贝瑞恩庄园，我遇到了父亲的老朋友凯德恩
It was good to see the old boar again,再见老野猪真好
Waking up,苏醒
I woke up in the hold of the Zephyr to find something is wrong on the ship,我在“西风”号的船舱里醒来，发现船上有问题
#Chapter 1,第1章
A Foul Cave,一个恶臭的洞穴
I discovered a cave near the spot where I landed on Idra,在伊德拉我登陆的地方附近，我发现了一个洞穴
A foul stench of rotting flesh and seaweed lies thick inside,恶臭的腐肉和海藻味弥漫在洞内
Driina the Sepulchite,DRIINA THE SEPULCHITE
DRIINA THE SEPULCHITE,DRIINA THE SEPULCHITE
I was joined by a Sepulchite cleric by the name Driina,一位名叫德莉娜的Sepulchite牧师加入了我们
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,她打算寻找进入霍林城的方法，据说那座城市已经被邪教徒占领
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader",在离开营地之前，她坚持要我们去拜访营地实际上的领导者
Someone named Markus who is holed up in a stable nearby,一个名叫马库斯的人，他躲在附近的马厩里
A Floating Corpse,悬浮的尸体
I found a lost soul in the underwater cave system under the lighthouse,在灯塔下的水下洞穴系统中，我找到了一个迷失的灵魂
The poor wretch must have gotten lost in the darkness and drowned,这个可怜的家伙一定是迷失在黑暗中溺水而亡了
I must take care I do not share his fate,我必须小心，以免重蹈他的覆辙
There was a key on the corpse,尸体上有一把钥匙
EMBLA IN HORRYN,伊尔巴 在 哈里恩
Embla in Horryn,伊尔巴 在 哈里恩
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,前酒馆老板法兰佐刚刚告诉我，在灾难发生前的几天，伊尔巴曾在哈里恩的酒馆住过
The Gates are Sealed,门户已封闭
I searched for a way into Horryn but had little luck,我寻找进入哈里恩的方法，但运气不佳
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself",现在看来，我必须另寻出路，在这座荒凉的岛屿上生存，直到有机会出现
"Till then, the island no doubt overflows with desperate wretches in need of assistance",在那之前，毫无疑问，这座岛屿上充满了急需援助的可怜人
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight",在那之前，德里娜建议我们返回难民营地，尽我们所能帮助他们度过这段艰难的时光
A Ritual Dagger,仪式匕首
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,我在伊德拉灯塔下的水下洞穴中发现了一把年代不明的奇怪匕首
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,看起来它是一种仪式用具，我怀疑它仍然具有重要的意义和力量
Astronomer's Journal,天文学家的日志
I found a strange journal that seems to have belonged to an Imperial astronomer,我发现了一本奇怪的日志，似乎属于一位帝国天文学家
