original,translate
Pre-Launch 1.0.3d,1.0.3d版预发行
Pre-Launch 1.0.3d - DELUXE EDITION,1.0.3d豪华版预发行
Launch 1.0.5,1.0.5版发行
Launch 1.0.5 - DELUXE EDITION,1.0.5豪华版发行
Core 1.0.6c,核心版1.0.6c
Core 1.0.6c - DELUXE EDITION,核心版1.0.6c豪华版
Core 1.0.7e - DELUXE EDITION,核心版1.0.7e豪华版
SKALD Core 1.0.7e - DELUXE EDITION,斯卡德核心版1.0.7e豪华版
Press 1.0.9d - DELUXE EDITION,媒体版1.0.9d豪华版
Continue Game,继续游戏
New Game,新建游戏
Load,载入
Save,保存
Start Module,开始模块
Settings,设置
Credits,致谢
Quit,退出游戏
Exit,退出
Reset,重置
Gameplay,游戏玩法
Difficulty,困难度
Display,显示
Audio,音效
Controls,控制
Fonts,字体
Enter Map Auto Save,进入地图自动保存
Rest Auto Save,休息时自动保存
Tactical Icons Always On,战术图标始终显示
Tactical Grid,战术网格
Show Stealth Info,显示潜行信息
Combat Pop-Up Length,战斗弹出窗口长度
Tutorials,教程
Controller Sensitivity,控制器灵敏度
Language,语言
Enabled,启用
Disabled,禁用
DISABLED,禁用
ENABLED,启用
Normal,正常
Extensive,详细
DELUXE,高级版
Nostalgia Mode,怀旧模式
Dice Animation,骰子动画
White - Pips,白色 - 点数
White - Roman,白色 - 罗马数字
Blue - Pips,蓝色 - 点数
Blue - Roman,蓝色 - 罗马数字
Red - Pips,红色 - 点数
Red - Roman,红色 - 罗马数字
Russian,俄罗斯式
Gameplay Settings,游戏设置
ENTER MAP AUTO SAVE,进入地图自动保存
The game will auto save whenever you enter a new map,每次进入新地图时游戏将自动保存
REST AUTO SAVE,休憩自动保存
The game will auto save whenever you make camp,每次扎营时游戏将自动保存
TACTICAL ICONS ALWAYS ON,战术图标始终显示
The degree to which the game shows tactical symbols and a grid during combat,游戏在战斗中显示战术符号和格网的程度
"If set to true, the game will automatically show tactical icons during the planning state",如果设置为真，游戏在规划状态下将自动显示战术图标
"If set to false, the tactical icons will only show when holding down SHIFT",如果设置为假，战术图标只有在按住SHIFT键时才会显示
TACTICAL GRID,战术格网
Whether or not the game shows a grid along with the tactical icons when activated during combat,激活战斗时，游戏是否显示网格和战术图标
SHOW STEALTH INFO,显示潜行信息
Setting this to Enabled will show a tooltip box containing info on light levels and stealth modifiers for tiles when you right click them,将此设置为启用后，右键点击地砖时会显示一个提示框，包含光照等级和潜行修正信息
COMBAT POP-UP LENGTH,战斗弹出信息持续时间
This adjusts how long the on-screen combat pop-up text lingers,调整屏幕上的战斗弹出信息停留时间
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass",注意，直到所有角色的弹出信息消失，回合才不会推进，因此调整这个数值也会改变战斗回合的传递速度
TUTORIALS,教程
The degree to which you want the game to offer gameplay tutorials during play,游戏在游玩过程中提供操作教程的程度
CONTROLLER SENSITIVITY,控制器灵敏度
The sensitivity of the joystick used for moving the cursor when using a controller,使用控制器移动光标时摇杆的灵敏度
LANGUAGE,语言
Select the display language for the game,选择游戏显示语言
English,英语
None,无
Some,部分
Slow,缓慢
Very Slow,非常缓慢
Fast,快速
Attribute Rerolls,属性重掷
Player Rerolls,玩家重掷
P. Dmg. Rerolls,物理伤害重骰
Enemy Rerolls,敌人重骰
E. Dmg. Rerolls,敌方伤害重骰
Miss Smoothening,错误平滑
Combat Heal,战斗治疗
No Encumb,无负重
Cannot Die,无法死亡
XP For KO Char,晕倒角色的经验值
No Trash Mobs,无垃圾小怪
Easy,简单
Difficulty Settings,困难设置
DIFFICULTY,困难
The current difficulty of the game,游戏当前的困难程度
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,简单模式是新手玩家体验斯卡尔德风格角色扮演游戏的好方法
Combat is forgiving and there should be little need to optimize character builds,战斗较为宽容，角色构建优化的需求不大
Dice rolls are weighted in the player’s favor,骰子投掷偏向玩家
Normal mode is the game’s intended difficulty setting,正常模式是游戏预期的困难程度
There is only very limited artificial smoothing of certain dice rolls,只有非常有限的某些骰子投掷的人工平滑
Dice rolls are slightly weighted in the opponent's favor making them more deadly,骰子投掷略微偏向对手，使其更具威胁性
CUSTOM,定制
Custom difficulty,自定义难度
You're trying to edit the difficulty so the difficulty options are now being set to the ‘CUSTOM’ values,你正在编辑难度，现在难度选项将设置为“自定义”值
The custom difficulty will be saved and you can toggle back and forth between ‘CUSTOM’ difficulty and the pre-set difficulties any time,自定义难度将被保存，你可以随时在“自定义”难度和其他预设难度之间切换
Narrative,叙述模式
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,叙述模式是专为希望以最少的战斗和磨练关注点来体验游戏故事和背景的玩家设计的难度
ATTRIBUTE REROLLS,属性重掷
"If this number is greater than zero, the system will reroll any of the player's Attribute Check (Skill Checks for instance) dice rolls that many times and pick the most favorable one to the player",如果这个数值大于零，系统将重掷玩家的属性检定（例如技能检定）的骰子，并选择对玩家最有利的结果
PLAYER REROLLS,玩家重掷
"If this number is greater than zero, the system will reroll any of the player's Combat dice rolls (such as Attack Rolls or Defence Rolls) that many times and pick the most favorable one to the player",如果这个数值大于零，系统将重掷玩家的战斗骰子（例如攻击检定或防御检定），并选择对玩家最有利的结果
P. DMG. REROLLS,P. DMG. 重掷
"If this number is greater than zero, the system will reroll any of the player's damage dice rolls that many times and pick the most favorable one to the player",如果这个数值大于零，系统将重掷玩家的伤害骰子，并选择对玩家最有利的结果
ENEMY REROLLS,敌人重掷
"If this number is greater than zero, the system will reroll any of the enemy's Combat dice rolls (such as Attack Rolls or Defence Rolls) that many times and pick the most favorable one to the enemy",如果这个数值大于零，系统将重掷敌人的战斗骰子（例如攻击检定或防御检定），并选择对敌人最有利的结果
E. DMG. REROLLS,E. DMG. 重掷
"If this number is greater than zero, the system will reroll any of the enemy's damage dice rolls that many times and pick the most favorable one to the enemy",如果这个数值大于零，系统将重掷敌人的伤害骰子，并选择对敌人最有利的结果
MISS SMOOTHENING,错误平滑
The degree to which the engine compensates player miss streaks by increasing To-Hit chances,引擎补偿玩家连续失手几率增加的程度
Ignore Food,忽略食物
COMBAT HEAL,战斗治疗
"If Enabled, the party will heal fully after each combat",如果启用，队伍在每次战斗后将完全恢复生命值
NO ENCUMB,无负重限制
"If Enabled, the party has no limit to carrying capacity",如果启用，队伍将没有携带能力的上限
CANNOT DIE,不能死亡
"If Enabled, the main PC can never die in combat",如果启用，主要角色在战斗中永远不会死亡
XP FOR KO CHAR,KO 角色的经验值
"If Enabled, XP will also be given to downed characters after combat",如果启用，战斗结束后也会给予倒下的角色经验值
IGNORE FOOD,忽略食物
"If Enabled, the party does not need to consume food",如果启用，队伍不需要消耗食物
NO TRASH MOBS,不生成垃圾小怪
"If Enabled, the party will not encounter 'trash mob' encounters on the overland map",如果启用，队伍在野外地图上不会遇到“垃圾小怪”遭遇战
TO-HIT ROLL,击中骰子
Concept,概念
The To-Hit roll is made by comparing the Attacker's Attack Roll to the Defender's Defence Roll,击中骰子是通过比较攻击者的攻击骰子和防御者的防御骰子来完成的
If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit,如果攻击者的骰子等于或高于防御骰子，攻击就是命中
ATTACK ROLL,攻击骰子
The Attack Roll is calulated in the following way,攻击骰子按照以下方式计算
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + 近战/远程击中命中 + 其他
Bonuses + Accuracy Bonuses,加值 + 准确度加值
2D6,2D6
Simulates rolling and adding up two six-sided dice,模拟掷两个六面骰并相加
In other words a 2d6 roll generates a number between 2 and,换句话说，2d6掷骰生成一个2到12之间的数字
DEFENCE ROLL,防御掷骰
The Defence Roll is,防御掷骰是
