original,translate
Select,选择
Abort,中断
Pick a Difficulty,选择难度
Character Creation,角色创建
Class,职业
Background,背景
Attributes,属性
Appearance,外观
Welcome to character creation!,欢迎来到角色创建！
Start by picking a DIFFICULTY for your playthrough,首先选择你的游玩难度
Are you sure you want to abort?,你确定要中断吗？
Difficulty can be changed during play,难度可以在游玩过程中更改
Bard,吟游诗人
Battlemagos,战术师
Champion,战士
Hierophant,神官
Hospitaller,医疗者
Officer,军官
Ranger,游侠
Thief,盗贼
Select a Class,选择职业
ARMSMASTER,武器大师
Archetype,元职
Warrior,战士
The Main Attribute for this Class is Strength,本职业的主要属性是力量
Start,开始
DP,DP
HP/Lvl,HP/级
Magic/Lvl,魔法/级
May use any armor,可以使用任何护甲
"May use all weapons of type Blade, Axe, Club and Bow",可以使用所有类型为刀、斧、棒和弓的武器
"Next, select a CLASS for your character!",接下来，请为你的角色选择一个职业！
Classes define a character's role in the party by adding certain exclusive abilities,职业定义了角色在队伍中的角色，通过添加某些独有能力
DEVELOPMENT POINTS,发展点
Development Points are gained when leveling up and used to buy ranks in Feats,发展点在升级时获得，用于购买专长等级
This unlocks new Abilities for the Character making them more powerful,这将为角色解锁新的能力，使其更加强大
MAIN ATTRIBUTE,主要属性
The Main Attribute is the Attribute that is the most important for this Class,主要属性是对于这个职业来说最重要的属性
STRENGTH,力量
Attribute - Primary,属性 - 主要
A measure of a character's brawn and physical power,人物力量和体能的衡量标准
ATTUNEMENT PER LEVEL,每级适应度
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up",指示角色每次升级时获得的游戏魔法资源适应度的量
VITALITY PER LEVEL,每级生命值
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up",指示角色每次升级时获得的游戏生命值资源生命值的量
BARD,吟游诗人
Rogue,盗贼
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,吟游诗人将盗贼不错的战斗技能和高机动性与神秘魔法的使用相结合
The Main Attribute for this Class is Presence,这个职业的主要属性是魅力
May wear Light armor,可以穿戴轻甲
"May use Light and Medium weapons of type Blade, Axe, Club and Bow",可以使用刀、斧、棒和弓这几种类型的轻武器和中型武器
ROGUE,盗贼
The Rogue combines important non-combat skills with a large damage output against single targets,盗贼结合了重要的非战斗技能和对单一目标的巨大伤害输出
BATTLEMAGOS,斗士法师
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor",与其他法师不同，他们还可以使用一些基本的战斗相关特技，并且可以穿戴轻甲
The Main Attribute for this Class is Intellect,这个职业的主要属性是智力
"May use Light weapons of type Blade, Club and Bow",可以使用刀、棒和弓这几种类型的轻武器
CHAMPION,圣武士
Cleric,牧师
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,圣武士是一名擅长使用刀剑和盔甲的牧师，同时仍然具备有限的神圣法术施法能力
May use all weapons of type Blade and Club,可以使用所有类型为刀剑和棍棒的武器
GUILD-MAGOS,市集法师
This comes at the cost of having absolutely no combat related Feats,这意味着完全没有与战斗相关的专长
May not wear armor,不能穿戴盔甲
HIEROPHANT,神职人员
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,神职人员是一种牧师，可以全面掌握所有不同的神圣法术学派
May use Light and Medium weapons of type Club,可以使用棍棒类型的轻型和中型武器
HOSPITALLER,救护者
The Hospitaller is a Cleric who serves as a front line healer,救护者是一种牧师，担任前线治疗师的角色
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School",武艺高强且装备精良，他们能够抵挡强大的敌人，同时还能接触到体术魔法学派的最高境界
OFFICER,领袖
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,领袖是一名善于战斗的战士，通过战术技巧成为战斗力的倍增器
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members",在战场上发布命令，极大地提高了队友的表现
RANGER,游侠
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,游侠是一种擅长远程战斗的战士，并且可以接触有限的自然魔法
THIEF,盗贼
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,盗贼是一种使用潜行进行伏击，发动致命背刺攻击的盗贼
The Main Attribute for this Class is Agility,这个职业的主要属性是敏捷
STEALTH,潜行
Attribute - Skill,属性 - 技能
Stealth is used during adventuring,暗袭在冒险中使用
In particular it determines if NPCs notice the party as it moves around,特别是用来判断NPC是否注意到队伍的移动
AGILITY,敏捷
"A measure of hand-eye coordination, nimbleness and dexterity",手眼协调能力、灵巧度和灵巧度的衡量标准
BACKSTAB,暗袭
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,如果角色激活了暗袭能力，将自动对被夹击或易受攻击的目标进行暗袭攻击
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,成功的暗袭攻击将使角色的暗袭加成乘以武器的暴击修正值，然后加到伤害骰中
FLANKING,夹击
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,如果敌人占据了角色上方和下方或左侧和右侧的格子，角色就可以被夹击
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,攻击夹击目标的攻击者可以在攻击骰中添加夹击加成
Rogues may Backstab Flanked Characters,盗贼可以对夹击的敌人进行暗袭
BACKSTAB BONUS,暗袭加成
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage",如果成功进行了暗袭攻击，此属性将乘以武器的暴击修正值，然后加到总伤害中
VULNERABLE,易受攻击
A Vulnerable character cannot defend themselves,易受攻击的角色无法进行防御
This makes them much easier to hit and it also means they can be Backstabbed,这使得他们更容易被击中，也意味着他们可以被暗袭
WARRIOR,战士
A Warrior is a front-line fighter who can take and deal large amounts of damage,战士是前线战士，能够承受和造成大量伤害
PRESENCE,气场
A character's ability to read and react to the surrounding environment and people,角色读取和应对周围环境及人物的能力
ATTUNEMENT,调和
Attribute - Magic,属性 - 魔法
CLERIC,牧师
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,牧师通过近距离增益和恢复法术为队伍提供近距离支援
BODY MAGIC SCHOOL,身体魔法学派
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,该属性值表示您可施放的最高身体魔法法术等级
SPELL TIER,法术等级
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School",通过研究不同的法术施法学派，角色在该学派中获得法术等级
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,法术等级使角色能够学习法术，不同的法术有不同的等级要求
MAGOS,魔导士
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells",魔导士是远程打击者，能够施放强大且往往具有破坏性的法术
INTELLECT,心智
"Mental acuity, recall and analytical skill",心智敏捷、回忆和分析能力
FIRE MAGIC SCHOOL,火焰魔法学派
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,该属性值表示您可施放的最高火焰魔法法术等级
Acolyte,侍从
Courtier,朝臣
Entertainer,娱乐师
Ex-Legionary,前军团战士
Guilder,铜币商人
Laborer,力士
Monastic,武僧
Noble,贵族
Nomad,�游牧民
Snake-Cultist,蛇教徒
Street Rat,街头混混
Thug,暴徒
Vagabond,流浪者
Wildling,野蛮人
Select a Background,选择背景
ACOLYTE,牺牲者
You claim a connection with the divine that goes far deeper than most,你与神灵的联系比大多数人要深得多
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic",无论是否合法，你总是准备好传播神圣的智慧；无论是帝国的教义还是异端的胡言乱语
+5 Attunement,+5 调和
Select a BACKGROUND for your character,为你的角色选择一个背景
"BACKGROUNDS add points in skills, influence starting conditions and narrative content",背景增加技能点数，影响初始条件和叙述内容
COURTIER,朝臣
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,你花在奉承贵族身上的时间使你成为穿梭于帝国世俗宫廷险恶政治的高手
+1 Awareness,+1 觉知
+1 Diplomacy,+1 交际术
NOBLE,贵族
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses",你是一位古老血脉的个体，很久以前你就了解到财富和人脉往往能为你打开那些普通民众无法触及的大门
+1 Lore,+1 调查知识
DIPLOMACY,交际术
"Diplomacy is used to lie, bargain or sway others in negotiations",交际术用于撒谎、谈判或在谈判中说服他人
It influences prices at merchants,它影响商人的价格
LORE,调查知识
A general knowledge skill,一种通用知识技能
AWARENESS,觉察力
The ability to notice small details and hidden things,觉察细微之处和隐藏事物的能力
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,你是帝国拥挤地下世界中备受尊敬的成员，特别擅长出入不该去的地方
+1 Stealth,+1 暗行
+1 Thievery,+1 盗窃
THIEVERY,盗窃
Used to pick locks and pockets as well as to steal from shops,用于开锁、偷窃以及从商店偷窃
ENTERTAINER,表演者
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers",在帝国的富人中既被憎恨也被崇拜，巡回表演者凭借耀眼的魅力和灵活的手指可以赚取不少钱财
EX-LEGIONARY,前军团士兵
A member of the ‘old breed’; forged and tempered by the hardships of soldiering,‘老兵’之一员；在士兵生涯的艰辛中锻造和磨练
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,现在你属于那些拥有伤痕累累的身体和破碎心灵的同僚行列，他们在帝国中游荡，寻找一片安宁的土地作为家园
+30lbs Carrying Bonus,+30磅负重加成
CARRYING BONUS,负重加成
Attribute - Misc,身体属性 - 其他
A bonus in pounds added to the character’s Carrying Capacity,在角色的负重能力上增加的磅数 bonus
GUILDER,行会成员
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age",就像许多帝国中年轻有为的人一样，你很早就被征召加入了行会服务
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'",如谚语所说，为显赫的行会工作往往会让你“腰缠万贯，满手血腥”
+1 Crafting,+1 制作技艺
CRAFTING,制作
Crafting is used when creating items at crafting stations,当在制作站制作物品时使用
LABORER,力士
You’ve spent years toiling under the oppressive yoke of hard labor,你花费了多年时间在沉重的劳役下辛苦劳作
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship",虽然这可能没有给你留下多少口袋里的硬币，但它赋予了你对苦难的不自然抵抗力
+1 Toughness,+1 坚韧
TOUGHNESS,坚韧
The character’s ability to withstand adverse physical effects such as disease and poison,角色抵御不利物理影响（如疾病和毒药）的能力
MONASTIC,武僧
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,你曾服务于帝国中某个安全的修道院中的神圣组织
Pray the world has not grown too cruel in your absence,希望在你的缺席期间，世界并没有变得太残忍
+1 Healing,+1 治疗能力
HEALING,治疗
Healing is used in camp to increase the rate of wound recovery for wounded characters,治疗在营地使用时可以加快受伤角色的恢复速度
It also influences the amount of vitality regained from healing potions and is used in dialogue tests when dealing with medical issues and such,它还影响从治疗药水恢复的生命值量，并在处理医疗问题等对话测试中使用
VITALITY,生命值
Attribute - Secondary,属性 - 次要属性
Vitality describes the amount of damage a character can take before becoming seriously wounded,生命值描述角色在严重受伤前能承受的伤害量
Vitality is fairly easily regained through the use of consumable items and spells,生命值可以通过消耗物品和法术很容易地恢复
NOMAD,游牧民
"You’ve spent years across the seas, living with the desert nomads",你曾在海上度过了多年时光，与沙漠游牧民生活在一起
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship",尽管你总是局外人，但游牧民认为你值得信赖，足以成为他们异教火崇拜秘密的入会者
+25% Fire Damage Resistance,+25% 火焰抗性
FIRE DAMAGE RESISTANCE,火焰抗性
Attribute - Resistance,属性 - 抗性
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,抗性减少特定类型伤害的百分比，该百分比等于属性值
A value of 100% or higher means immunity to this damage type,抗性值达到100%或更高意味着对该类型伤害免疫
A negative value means a vulnerability to the damage type,负值表示对这种伤害类型的脆弱性
"If this is the case, incoming Damage will be increased",在这种情况下，受到的伤害将增加
SAILOR,水手
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,你听到了风暴之母的呼唤，海水现在流淌在你的血管中
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea",无论是在行会成员商船的甲板上，还是在简陋的捕鱼帆船上操控风帆，你最感到自在的时刻就是在海上
+1 Athletics,+1 力量
ATHLETICS,力量
SALT,咸味
Food,食物
Food Val,食物价值
Value,价值
Weight,重量
Used in,用于
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries",随着帝国昔日强大的军团衰落，这是一个雇佣兵和雇佣兵的时代
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,没有人愿意支付专业人士去对他人的暴力行为，而你在这方面非常出色
+3 Vitality,+3 生命值
SNAKE-CULTIST,蛇教徒
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,在黑暗的地窖和隐秘的神殿中蠕动着蛇，使你对蛇吻免疫
+100% Poison Resistance,+100% 毒液抗性
POISON RESISTANCE,毒液抗性
Resistance to a condition represents the percentage chance to avoid contracting the condition,抗性表示避免感染该状况的百分比几率
An attribute value of 100% or above means immunity to the condition in question,属性值达到100%或以上意味着对所提到的状况具有免疫
STREET RAT,街头混混
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,在帝国广阔城市的严酷街头度过了你的童年，使你具有超自然的生存直觉
No crime is too petty - no meat too mysterious,没有小偷小摸的罪行，也没有肉食是太神秘的
+2 Initiative,+2 敏捷
INITIATIVE,敏捷
Initiative determines who goes first in combat,敏捷决定了战斗中谁先行动
THUG,狡徒
"Punch first, ask questions later",先打，后问
You have perfected the noble art of solving problems with brute force,你已经精通了用蛮力解决问题的高贵艺术
+1 Club Damage Bonus,+1 棍棒伤害加成
CLUB DAMAGE BONUS,棍棒伤害加成
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,武器伤害加成会在使用指定武器类型时增加造成的伤害
VAGABOND,游民
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place",你在青少年时期大部分时间都在路上度过，是一个自由的灵魂，没有对任何特定的人或地方效忠
"Drifting from place to place, you go where there is work, food and a warm bed to be had",你四处漂泊，到哪里都有工作、食物和温暖的床铺
+1 Survival,+1 生存
SURVIVAL,生存
"Survival is used to forage for food, navigate difficult overland terrain and also determines a character's general knowledge of nature",生存用于搜寻食物、穿越艰难的陆地地形，同时也决定了角色对自然的普遍知识
WILDLING,野童
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk",当文明的光芒渐渐消逝，帝国的广袤 wilderness 吞噬着文明的人们
Thankfully you don’t count yourself among those,幸运的是，你并不属于他们之中
The sky is your temple and the howling of wolves your litany,天空是你的神殿，狼嚎是你诵读的祷文
Primary Stats,主属性
Agility,敏捷
Intellect,智力
Presence,威严
Strength,力量
Skills,技能
Athletics,力量训练
Awareness,觉醒
Crafting,制作
Diplomacy,交际
Healing,治疗
Lore,知识
Stealth,潜行
Survival,生存
Thievery,盗窃
Secondary Stats,次级属性
Combat Stats,战斗属性
Crit Chance,临战几率
Initiative,先行权
Melee To Hit,近战命中
Ranged To Hit,远程命中
Defences,防御
Dodge,闪避
Toughness,坚韧
Willpower,意志力
Select an entry!,请选择一项内容！
Primary Attributes and Skills,主属性和技能
Distribute points to your PRIMARY ATTRIBUTES and SKILLS,分配点数到你的主属性和技能
These go a long way towards defining your character mechanically,这些对于机械地定义你的角色至关重要
SECONDARY STATS,次要属性
Secondary attributes that tend to vary during play,在游戏中容易变化的次要属性
SKILLS,技能
Skills are derived from primary attributes and are used to perform most non-combat tasks in the game,技能来源于主属性，用于执行游戏中的大多数非战斗任务
TOTAL,总值
FORTITUDE,体质
Describes how tough and resilient a character is,描述一个角色的坚韧和抗打击能力
WOUNDS,伤痕
Ranks,等级
RANKS,等级
COMBAT STATS,战斗属性
Derived attributes that are used during combat,在战斗中使用的衍生属性
CRIT CHANCE,临战几率
Describes the percentage of Hits that are upgraded to Critical Hits,描述了击中转化为致命一击的概率百分比
