original,translate
#Beds,#床位
Bed,床
Bedroll,床铺卷
#Containers,#容器
Armor Stand,防具架
Armor Stands,防具架
Backpack,背包
Arrows,箭矢
A Barrel,一桶
"A barrel of standard Imperial measurements, used to carry cargo on Guild ships",一桶标准帝国内陆测量单位，用公会船只运输货物
Barrels,桶
Bookshelf,书架
Box,箱子
A solid box,一个坚固的箱子
Brandy Crates,一个简陋的木箱
Cabinet,橱柜
A Chest,一个箱子
A sturdy wooden chest,一个坚固的木箱
A shoddy wooden chest,一个简陋的木箱
Cocoon,蛹
The Butcher,屠夫
Corpse,尸体
Sailor's Corpse,水手的尸体
Kala,卡拉
Oleg,奥列格
Mauled Corpses,残酷的尸体
A Crate,一个箱子
A well made wooden crate that carries the brand of the Nautical Guild,一个做工精良的木箱，上面刻有航海公会的标志
Crates,箱子
Small wooden crates,小木箱
Alcove,凹槽
Shelves,书架
Desk,桌子
Apothecary's Desk,药剂师的桌子
Flower,花
Secret Compartment,秘密隔层
Your Luggage,你的行李
A very sturdy wooden chest,一个非常坚固的木箱
A sturdy chest,一个坚固的箱子
Table of Notes,笔记桌
Sacks,背包
Sarcophagus,棺椁
Reagent Shelf,试剂架
Smuggler's Corpse,毒贩的尸体
Table,桌子
Surgical Tools,手术工具
#Decoratives,#装饰品
Cave-In,塌陷
Aquarium,水族箱
Cauldron,锅
An empty cauldron,空锅
Eyes,眼睛
Fountain,喷泉
Glowstaff,发光法杖
Reefs,珊瑚礁
Empty Grave,空坟墓
Pile of Straw,一堆稻草
Infestation,侵扰
Ancient Pottery,古代陶器
"Ancient clay pottery covered in strange, ornate circular patterns",覆盖着奇怪的、装饰性的圆形图案的古代陶器
Hole,窟窿
Scarecrow,假人稻草人
#Doors,#扇门
Barred Gate,带锁的门
Door,门
Gate,门
A Door,一扇门
A double wooden door,一扇双木门
A simple wooden door,一扇简单的木门
A flimsy wooden door,一扇脆弱的木门
A Hidden Door,隐藏的门
Stone Slab,岩石板
"A massive, reinforced door",一扇加固的大门
This door appears to be barricaded from the other side,从另一侧似乎被加固了
It cannot be opened from this side,无法从这边打开
Barred Door,带锁的门
Inn Door,酒馆门
Portal,门户
Web,网
The web of some giant arachnid,一些巨大蜘蛛的网
#Inspectables,#可检查物品
The piece of paper seems to contain a work order,这张纸似乎包含了一份工作指令
"and as can clearly be observed, the tunnel’s support pillar is close to giving in",且可以清楚地观察到，隧道的支撑柱即将倒塌
"If this last piece of support was to be removed, it is highly likely that the tunnel would collapse completely",如果移除最后一根支撑柱，隧道很可能完全坍塌
continue the previous day’s work of expanding the tunnel eastwards,继续前一天的工作，向东方扩展隧道
I believe you should be very close to breaking through,我认为你们即将突破
Doing so will allow us to create a short-cut to the mine’s entrance and I don’t need to tell you how much this would improve logistics,这样可以让我们创建一条通往矿场入口的捷径，你不需要我告诉你这会如何改善后勤
Barricade,阻塞
A barricade constructed from debris blocks this path,用废墟堆砌的障碍堵住了这条道路
It is too large to dismantle before retaking the city and for now you must find some way around it,在重新夺回城市之前无法拆除，现在你们必须找到绕过它的方法
Cave In,塌方
A portion of the cave has collapsed behind you,你身后的一部分洞穴发生了塌方
There is no going back this way,无法从这条路返回
Spider Corpse,蜘蛛尸体
The mauled corpse of a giant spider,一只巨蜘蛛被重创的尸体
Grave,坟墓
A fresh grave with a simple marker made of sticks,一座新坟，用树枝制成简单的标记
No name can be found upon it,无法找到上面的名字
The corpse belongs to a graying old man,尸体属于一位年迈的老人
His face is serene and there is nothing to indicate he did not die of natural causes,他的脸平静安详，没有任何迹象表明他不是自然死亡
"Leaning over the body however, you spot thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose",然而，你俯身查看，发现那人嘴和鼻孔中长出了一些奇怪的紫色菌类生长物。
"Strange vines of some unknown, purplish growth bursts forth from the masonry",一些未知的紫色藤蔓从石墙上突然爆开。
"As you lean in, fine strands reach greedily towards you",当你凑近时，细长的丝状物贪婪地向你伸来。
You recoil in disgust and decide it’s best to not touch the growths,你感到厌恶地后退，决定最好别碰这些生长物。
Dead Body,遇害者
A body lies broken upon the ground,一具尸体横躺在地上。
"Though it has been gnawed by hounds, it seems clear that this person fell or jumped from the cliffs above",虽然被野狗啃咬过，但显然这个人是从上方的悬崖上坠落或跳下来的。
Old Crates,老旧的木箱
Old and ruined shipping crates litter this part of the cave,这个洞穴的这一部分散落着一些老旧破烂的货箱。
Only smugglers would use a place like this to store their goods,只有走私者才会用这样的地方来储存货物。
"Perhaps there are other, similar caches to be found on the Outer Isles?",或许在外岛还有其他类似的藏匿地点？
A Note,一张纸条
A note is scrawled in crude letters,用粗糙的笔迹潦草地写着一张纸条。
Kook!,胡说八道！
I cannot stand another meal of Salted Fish!,我再也吃不下咸鱼了！
Armour stands,防具架
"Take head, or git a dagger in the eye ye cheap basterd",拿头，否则我会用匕首刺瞎你的眼睛，贱人。
Strange Jar,奇怪的瓶子
An oddly shaped container of some unknown design,一个形状奇特、设计未知的容器。
"The surface is smooth and metallic, but not of a material you recognize",表面光滑且金属质感，但材质你从未见过。
"Though the artifact is without a scratch, it still somehow conveys impossible age",尽管这件神器没有任何划痕，但它仍然传递着不可思议的古老气息
Librarian’s Journal,图书管理员的日记
A book lies open on the librarian’s desk,一本打开的书放在图书管理员的书桌上
"Brother Auran has once again made off with the key to the forbidden section, claiming it is ‘much more convenient for both me and him’ that he keeps it for the duration of his studies",哥伦已经再次偷走了禁书区的钥匙，声称“对他和我都更方便的是他在这段时间内保管钥匙”
He’s assured me it’s well hidden in his study in the eastern tower whilst not in use,他保证说，当钥匙不用时，他会把它藏在东塔的书房里
Bloody fool,糟糕透顶
