original,translate,
#General,#通用,
Quest Started,任务开始,
Side Quest Started,边线任务开始,
Sub-Quest Started,分支任务开始,
Quest Completed,任务完成,
Side Quest Completed,边线任务完成,
Sub-Quest Completed,分支任务完成,
Quest Failed,任务失败,
Side Quest Failed,边线任务失败,
Sub-Quest Failed,分支任务失败,
MAIN QUESTS,主任务,
SIDE QUESTS,边线任务,
COMPLETED,完成,
FAILED,失败,
Success,成功,
Failed,失败,
Main quests that have not yet been completed,尚未完成的主要任务,
Side-quests that have not yet been completed,尚未完成的边线任务,
Quests that have been completed,已完成的任务,
Quests that have failed,失败的任务,
# Tilde Sub Quests,# 波浪符 副任务,
~ The Summoning Chamber,~ 召唤室,
~ Down Below,~ 下方,
~ Salts of Elthanyr,~ 埃尔than瑞的盐,
~ Eat!,~ 吃！,
~ The Surprise,~ 意外之喜,
~ The Brewer,~ 酿酒师,
~ The Cook,~ 厨师,
~ The Weaver,~ 织工,
~ To the Tower,~ 去塔楼,
~ Shrine of Agility,~ 敏捷圣所,
~ Shrine of Fortitude,~ 坚毅圣所,
~ Shrine of Intellect,~ 智慧圣所,
~ Shrine of Presence,~ 影响力圣所,
~ Shrine of Strength,~ 力量圣所,
~ Talk to Markus,~ 与马库斯交谈,
~ Talk to Drahl,~ 与德拉尔交谈,
~ The Secret Tunnel,~ 秘密地道,
~ The Queen's Request,~ 王后的请求,
~ Mouths to Feed,~ 要养活的人口,
~ Outbreak,~ 疫病爆发,
~ Hidden Clues,~ 隐藏的线索,
~ Buried Secrets,~ 被埋的秘密,
~ An Evening Meal,~ 晚餐时光,
~ The Hedge Maze,~ 草丛迷宫,
#Main Quests,#主线任务,
A Twilight Meeting,一次黄昏会面,
I’ve been summoned to the estate of the lord Cato Berryn,我被召唤到了卡托·贝林庄园,
My father’s old patron,我父亲的老赞助人,
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn",尽管我在这里长大，但因为父亲离开贝林家族的方式不幸，我已经几十年没有回去了,
I do not know why Cato summons me now and I must venture to find out,我不知道卡托现在为什么召唤我，我必须前去探个究竟,
The lord Berryn has tasked me to find his daughter,贝林领主让我去找他的女儿,
"My childhood friend, Embal",我儿时的朋友，伊姆巴尔,
Rescue Embla,营救伊姆布拉,
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra",我父亲的老赞助人，卡托·贝林领主，让我去岛上的伊德拉营救他的女儿,
She was last seen in the city of Horryn and I must search for clues as to her fate,她最后是在霍林城被看到的，我必须寻找关于她命运的线索,
I found Embla in the town of Horryn,我在霍林城找到了伊姆布拉,
Events have conspired however to make it impossible to return to the mainland,但事件的进展使得返回大陆变得不可能,
Instead we must venture to end the madness that has engulfed the region,我们必须前往终结笼罩这片地区的疯狂,
This quest has failed,这个任务失败了,
Refugees of Horryn,海罗因难民,
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp",马库斯勋爵，难民实际上的领导者，恳求我帮助营地,
Food is running low and he’s requested I talk to Frantzo,食物快用完了，他请求我去找弗朗佐谈谈,
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,营地里还爆发了疾病，我应该去找德拉尔牧师谈谈这个问题,
Both can be found in the camp,他们都可以在营地找到,
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,我已经尽力帮助营地和难民了，难民们确实有了抵抗的机会,
Mouths to Feed,需要养活的人,
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees",弗朗佐，营地的厨师兼实际上的物资官，需要我为难民找到食物补给,
He needs a large supply of it and soon as people have begun dying from starvation,他需要大量的食物，并且尽快，因为人们已经开始因饥饿而死亡,
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,我已经为弗朗佐提供了足够的食物，以确保难民在未来一段时间内都能得到喂养,
Jakub's Goats,卡朱伯的山羊,
Frantzo suggests looking into the farmer’s missing herd of goats,弗朗佐建议调查那位农民失踪的山羊群,
He suspects the farmer hid them away to keep them from being eaten by starving refugees,他怀疑那位农民把山羊藏起来了，以防止它们被饥饿的难民吃掉,
Bring the Goats to Camp,带山羊回营地,
I found Jakub's hidden goats up in a secluded mountain glen,我在偏远的山间谷地找到了卡朱伯隐藏的山羊群,
Now I must bring the herd of goats to the refugee camp,现在我必须把山羊群带到难民营地,
If I don't get Jakub to agree first there may be consequences,如果我不先说服卡朱伯，可能会有后果,
Convince Jakub,说服卡朱伯,
Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp,或许我应该去找卡朱伯，看看能否说服他让我把山羊带回营地,
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten",卡朱伯，伊德拉山羊农民，已经醒悟过来，同意让我把山羊带回到营地，好让它们被食用,
He asks that I go and help his son,他要求我去帮助他的儿子,
Return to Frantzo,回到弗朗佐,
I must return to Frantzo and tell him that I've brought Jakub's goats to camp,我必须回到弗朗佐并向他报告我已经把雅各布的羊带到营地的消息,
Search for the Goats,寻找羊群,
I need to start by looking for a clue as to where the herd could be located,我需要先寻找一些线索，以确定羊群可能的位置,
An Alternate Supply,替代补给,
Look for an alternate solution to the food-crisis in the refugee camp,寻找解决难民营食物危机的替代方案,
Sea's Bounty,海洋的恩赐,
The quartermaster of the Weathermaiden has enough food-supplies to feed the refugee camp,天气使者号的军需官有足够的食物补给可以喂饱难民营,
The downside is it will cost me 500 pieces of gold,问题是这将花费我500个金币,
I’ve acquired the food-supplies needed to feed the refugees,我已经获得了喂养难民所需的食物补给,
Now all that remains is to return to Frantzo and tell him the good news,现在只剩下回到弗朗佐并向他报告这个好消息了,
Outbreak,疫情,
"There is an outbreak in camp and the aged cleric, Drahl, has asked me to help him look for a cure",难民营里爆发了疫情，年迈的牧师德拉尔请我帮他寻找治疗方法,
He suggests I start by talking to Hannah,他建议我先去找汉娜谈谈,
The mother of a sick child who appears to have a suggestion for a cure,一个生病孩子的母亲，似乎对治疗方法有所建议,
She can be found in a cottage south of camp,她住在营南边的一个小屋里,
I provided Drahl with a cure for the outbreak and it appears to be having the intended effect,我为德拉尔提供了治疗疫情的药剂，看来效果不错,
A Mother's Love,母亲的爱,
A young mother in the refugee camp has pleeded with me to help save her child,一个年轻的母亲在难民营里恳求我帮助救她的孩子,
The boy's fallen ill and she begs me to seek out an old crone living in the forest in the islands interior,那个男孩生病了，她恳求我去找岛内地森林里住着的一个老巫婆,
She would know how to help,她会知道如何帮助的,
"Though the old woman had gone insane, I was able to get medicine for the child",尽管那老妇人已经疯了，我还是设法为孩子弄到了药,
I was unable to get medicine for Hannah in time,我没能及时为哈annah弄到药,
Both mother and child passed,母亲和孩子都去世了,
"Having gotten his medicine, Hannah's boy is looking better already",哈annah的男孩已经看起来好多了，因为他得到了药,
The Un-Born,未出生者,
Mother Katak will help with the outbreak in camp,卡塔克妈妈会帮助解决营地的疫情,
"To make medicine she has asked me to find ""the un-born of the scaled ones""",为了制作药剂，她让我去找“鳞族的未出生者”,
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools""",据说它们就住在附近：“大橡树北面，以及那些恶臭的池塘之后”,
THE UN-BORN,未出生者,
"To make medicine she has asked me to find ""the un-born of the scaled ones",为了制作药剂，她让我去找“鳞族的未出生者”,
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools",据说它们就住在附近：“大橡树北面，以及那些恶臭的池塘之后”,
I recovered eggs from a pack of giant lizards and delivered them to the mad old hag,我从一群巨蜥中找回了蛋，并交给了那个疯癫的老巫婆,
You need to find 1 GiantLizardEgg,你需要找到 1 个巨蜥蛋,
You found GiantLizardEgg!,你找到了巨蜥蛋！,
The Eternity Gate,时空之门,
I find myself naked and alone in the darkness,我赤身裸体地独自一人置身于黑暗之中,
I can only surmise I am inside the strange structure that we found underneath the Black Priory,我只能猜测，我们是在黑修道院之下发现的那个奇怪建筑里,
