original,translate
#General,#通用
Prologue,序章
Chapter,章节
Two Weeks Earlier,两周前
#,#
# Books,# 书籍
#,#
#DeadSmugglerJournal,#DeadSmugglerJournal
I hate these jobs,我讨厌这种工作
Dropped off and told to guard the cargo until the next ship picks you up,把货物卸下后，被告知看守货物直到下一次船只来接应
And in this bloody cave no less,而且还得在这该死的山洞里
I sometimes think the Imperial dungeons would be preferable,有时我甚至觉得帝国的地牢更好一些
Read on,继续阅读
Leave,离开
We spent some time exploring the cave today and it seems there is a side tunnel,今天我们花了一些时间探索这个山洞，看起来有一个侧洞
"It's blocked off but if we had a pickaxe, I'm certain we could clear in with ease",但被堵住了，如果我们有铁镐，我相信我们可以轻松清理
Bryn says the area gives him the chills and that we better keep away,布林说这个地方让他感到寒意，我们最好远离
Coward!,胆小鬼！
Golden dead!,金色的亡者！
Bryn got attacked by a crab the size of a warhound today!,布林今天被一只比战狼还要大的螃蟹袭击了！
Nearly took his leg off!,差点截掉他的腿！
Neither of us have seen anything like it before and we can only pray it was alone!,我们俩之前都没见过这样的事情，但愿它只是单独行动的！
Hope the ship won't be delayed much longer,希望船不会延误太久
Bryn is gone,布林消失了
"Tore him up, they did!",他们把他打得不成样子！
No way out and no one is coming for me!,出不来，也没有人来救我！
Light is failing,光线越来越暗
Mother,母亲
#IntroSurgeonJournal,#启程外科医生日记
Surgeon's Journal,外科医生的日记
Written on the day of departure from mainland,写于离开大陆的那天
Left Adler's Helm today with a full cargo of passengers,今天带着满载乘客离开了阿德勒船舵
Mercenaries by the looks of it,看起来是雇佣兵
Paid well,薪水给得很好
Ship was dispatched by Guild before we could fully restock medical supplies,船在我们补充完医疗物资之前就被公会派走了
Hopefully we won't need them,希望我们用不上它们
"Then again, our passengers make me uneasy",再说，我们的乘客让我感到不安
Writtern 5 days ago,写于五天前
Brawl in mess - had to set nose,餐厅里的打斗 - 我不得不给鼻子复位
Men seem on edge,人们看起来都很紧张
"Also, Igan came to me today with a bite-wound that he sustained whilst working in the hold",此外，伊甘今天来找我，身上有咬伤，是在船舱工作时受的伤
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,没有看到那个生物，如果不是因为它的体型和一些难以解释的齿痕，我会说那只是老鼠的咬伤
I recommend captain sends detail to capture and kill creature,我建议船长派遣人员捕捉并消灭那个生物
Written two days ago,写于两天前
Was visited today by navigator Aslam,今天被导航员阿斯拉姆拜访
