original,translate
#Lore,#背景知识
Adler's Helm,阿德勒之盔
Adler's Helm is a mining town and the main settlement on Gradla,阿德勒之盔是一座采矿城镇，也是格拉尔的主要定居点
House Berryn,贝瑞恩家族
The House of Berryn is one of the richest and most influential houses in the North,贝瑞恩家族是北境最富有的和最有影响力的家族之一
The current head is the lord Cato Berryn,当前的族长是卡托·贝瑞恩
Erdahn,厄达ahn
The continent where the Gallian Empire rose,加利安帝国兴起的大陆
The central portion of Erdahn is known as 'the Heartland',厄达ahn的中部被称为“心腹之地”
Eryll,埃里尔
A mid-sized island to the north of Idra,伊德拉北部的一个中型岛屿
The only settlement on Eryll is the village of Firgol,埃里尔唯一的定居点是费戈尔村
The Eternity Vale,永恒谷
The sacred valley containing the mausoleums of dead Emperors,圣地，包含已故皇帝的陵寝
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,该遗址是巨大的魔法能量来源，因此被魔法法庭严密守护和维护
Excubitor,保镖
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,保镖是皇帝的个人卫队，也是唯一能在不戴面具的情况下见到皇帝的人类
The name literally means “the ones out of bed” as it is said that they never sleep,名字直译为“起床的人”，据说他们从不睡觉
Firgol,费戈尔
Firgol is a small village on the island of Eryll,费戈尔是埃里尔岛上一个小村庄
Firgol is known for its orchards,菲戈尔以果园闻名
Free-Lenders Guild,自由贷者公会
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,近年来在帝国崛起的一系列独立银行和金融机构组成的联盟
Freythen,弗雷then
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,一群分离主义者，他们密谋推翻弗雷马克帝国的权力
Gallian the Great,加利安大帝
Gallian,加利安
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,加利安大帝是三千年多年前的首位皇帝和帝国的创始人
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,加利安的身世和他大部分的生活都笼罩在神秘和传说之中，但记载说他来自南方，带来了人间和魔法的法律给心腹地的野蛮领主们
It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum,据说他由三个女人所生，统治末期并未死去，而是与星网融为一体
See Gallian’s Ascension,查看加利安的升天
The Gallian Empire,加利安帝国
Gallian Empire,加利安帝国
A large but waning empire founded nearly 3000 years ago by the mythical first Emperor,近三千年以前，由神话中的首位皇帝建立的一个庞大但日渐衰落的帝国
Gallian’s Ascension,加利安的升天
"At the end of the reign of the first emperor, Gallian, he is said to have ascended and become one with the reticulum",在首位皇帝加利安统治末期，据说他升天并与星网融为一体
"This was taken as a sign of not only his divinity, but the divinity and legitimacy of every Magos-Emperor since then",这被视为不仅他神性的标志，也是此后每一位魔法皇帝的神性和合法性的象征
Gallian’s Ascension (GA) is used today as the start of the modern Imperial Calendar,加利安的升天（GA）今天被用作现代帝国历法的起点
Gradla,格拉尔
"The northernmost island of the Outer Isles, Gradla is cold and barren",外岛最北端的岛屿，格拉尔寒冷荒凉
