original,translate
#Combat Tutorials,#战斗教程
Charging,冲刺
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,在进行攻击前至少移动2格直线路程，使用近战武器的角色可以进行冲刺攻击
Charge attacks significantly increase your likelihood to hit,冲刺攻击显著提高命中几率
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,冲刺攻击根据攻击前移动的距离增加命中加成
The teal pips over the character indicate how much momentum is built up by the charge,角色头顶的青色圆点显示冲刺积攒的动能
"The more momentum, the bigger the charge bonus",动能越大，冲刺加成越大
A successful charge will give the following text printing the bonus that was added to the character’s To-Hit roll,成功冲刺后，屏幕上会显示添加到角色命中骰上的加成
Tactical View,战术视图
Pressing SHIFT in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,在战斗中按下Shift键可以显示战术叠加层，使角色的精确位置和底层网格更容易看清
"In the settings menu, you can toggle the tactical overlay to be always on during the player’s turn",在设置菜单中，可以切换战术叠加层在玩家回合时始终保持开启
Holding LEFT TRIGGER in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,在战斗中按住左摇杆可以显示战术叠加层，使角色的精确位置和底层网格更容易看清
Conditions,状态
You have contracted a disease from your fight with the rats,你与地精的战斗中染上了疾病
You may see what conditions are affecting you by opening the Character Sheet,你可以通过打开角色表查看影响你的所有状态
Click your portraits or press ‘C’ to do so,点击你的肖像或按C键
Not all conditions are negative!,并非所有状态都是负面的
Press the Y BUTTON to do so,按Y键
Negative conditions can often be cured by magic or rest,负面状态通常可以通过魔法或休息治愈
This disease can be cured by a potion,这种疾病可以通过药水治愈
Pick up and equip the lantern to search the area!,拿起并装备灯笼以搜索区域！
Hint,提示
Some containers are hidden until your character “spots” them,有些容器在你的角色“发现”它们之前是隐藏的
Difficulty,困难度
Warda is a dangerous place where you can quickly end up facing very dangerous beings,费达是一个危险的地方，你可能会很快面对非常危险的生物
Sometimes the best tactic is to leave a fight for later as you level up and gather more equipment and allies,有时最好的策略是将战斗推迟到以后，随着等级提升和装备更多装备及盟友
Remember that you can change the difficulty of the game at any time,请记住，你可以随时更改游戏的难度
You can even create your own custom difficulty!,甚至可以创建你自己的自定义难度！
Play the game the way YOU want it!,按照你想要的方式玩游戏！
Flanking,侧翼攻击
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,如果敌人的单位占据了一个角色上方、下方或左侧、右侧的格子，该角色可以被侧翼攻击
It is much easier to hit a Flanked character,侧翼攻击的角色更容易击中目标
A Rogue will automatically Backstab Flanked targets to deal massive amounts of damage,盗贼会自动对侧翼攻击的目标进行背刺，造成大量伤害
Here the main character has moved to the right of the mercenary,这里主角已经移动到了佣兵的右侧
And then Roland moves to the left of the mercenary who is now Flanked,然后罗兰移动到佣兵的左侧，现在佣兵被侧翼攻击
Note the red double-arrow icon that indicates when a character is Flanked,注意表示角色被侧翼攻击的红色双箭头图标
Initiative,初始行动
"In combat, characters act in order of initiative",在战斗中，角色按照初始行动的顺序行动
You can view the initiative order by using the Initiative Widget on the left side of the screen,你可以通过屏幕左侧的初始行动小部件查看初始行动顺序
Moving the cursor over the widget makes it pop out,将光标悬停在小部件上使其弹出
Note that moving the cursor over a name will make that character's outline flash on the battlefield,注意将光标移到一个角色名字上时，该角色在战场上的轮廓会闪烁
Injuries,伤势
Your character is critically injured!,你的角色严重受伤了！
This means you have taken enough damage to reduce BOTH your Vitality and Wounds,这意味着你受到了足够的伤害，导致你的生命力和伤痕都减少了
The green bar under your Character’s portrait represents your Vitality score,角色肖像下方的绿色条代表你的生命力值
Vitality is a buffer to your wounds and as long as you have Vitality left you won’t take (serious,生命力是伤痕的缓冲，只要还有生命力，你就不会受到（严重的
Wound damage,伤痕伤害
Vitality is easily lost and easily regained!,生命力很容易失去，也很容易恢复！
Potions and healing magic restores Vitality - even during combat,恢复药剂和治疗魔法可以恢复生命力，即使在战斗中也可以
"The second, purple bar represents your Wounds",第二个紫色条代表你的伤痕
Losing Wounds is much more serious than losing Vitality,丧失伤痕比丧失生命力更为严重
Reaching 0 wounds means your character falls unconscious,伤痕归零意味着你的角色会昏迷
Wounds can also only be recovered by resting (or leveling up,伤痕只能通过休息（或升级）来恢复
Try to avoid taking Wound damage at all costs!,尽量避免受到任何伤痕伤害！
"Whenever you take Wound damage, you gain an Injury Condition as indicated by the icon on the portrait",每当你受到伤痕伤害时，肖像上的图标会显示你获得了一个伤势状态
Injuries confer serious penalties to your character and can only be removed by resting,伤势会给你的角色带来严重的惩罚，只能通过休息来移除
A party full of injured party members has its combat effectiveness severely reduced!,一个满是受伤成员的队伍其战斗效率会严重下降！
Making camp and resting is the surest way to restore an injured character!,休整营地并休息是恢复受伤角色的最佳方法！
Note that resting is not possible in every location so plan accordingly,请注意，并非所有地点都允许休息，因此请做好相应计划
You can also rest at inns when you find them,你也可以在找到旅店时休息
Interactables,互动对象
Moving the cursor over an interactable object will make a yellow outline appear,将光标移动到可互动对象上会出现黄色轮廓
Left mouse-click to interact with the object,左键点击以与对象互动
Right mouse-click to examine it,右键点击以检查它
Use RIGHT TRIGGER to interact with and object and press LEFT TRIGGER to examine it,使用右扳机与对象互动，按左扳机检查它
Holding down SHIFT will highlight all interactable objects in view,按住Shift键会在视野中高亮所有可互动对象
Some objects are hidden and won't be highlighted until they are spotted,有些对象隐藏起来，直到被发现才会被高亮
Holding down LEFT TRIGGER will highlight all interactable objects in view,按住左扳机会在视野中高亮所有可互动对象
Inventory,背包
"If you've not already done so, you must equip a weapon",如果你还没有装备武器，请装备一把
Press 'E' to manage your equipment,按'E'键管理你的装备
Clicking an item selects and examines it,点击物品选择并检查它
Select items using the cursor to examine and use it,使用光标选择并检查物品
Press the X BUTTON on the controller to manage your equipment,按控制器上的X按钮管理你的装备
Double click on items to use them,双击物品使用它
For weapons and armor this means the item becomes equipped,对于武器和护甲，这意味着物品被装备上了
Equipped items are moved to the relevant equipment slot,装备的物品会被移动到相应的装备槽位
"Select an item and press the A BUTTON to ""use"" it",选择一个物品并按A按钮“使用”它
Note that you can also press RIGHT TRIGGER with the cursor over a selected item to use it,注意你也可以在光标选中物品时按右扳机使用它
Movement Points,移动点
The widget on the lower right side represents the character’s action points,右下角的按钮代表角色的动作点
The yellow pips represent Movement points,黄色的点代表移动点
The violet pips represent Attacks,紫色的点代表攻击
You can move a number of tiles each combat equal to your Movement Points AND Attacks,每回合你可以移动的格子数等于你的移动点数和攻击次数
But spending Attacks to move means you won't be able to attack that turn,但是使用攻击来移动意味着你这一回合将无法进行攻击
This is a good way of moving extra far,这是一个额外移动的不错方法
