original,translate
#Colors,#颜色
Black,黑色
Blue,蓝色
Light Blue,浅蓝色
Brown,棕色
Light Brown,浅棕色
Cyan,青色
Gray,灰色
DarkGray,深灰色
Light Gray,浅灰色
Green,绿色
Light Green,浅绿色
Red,红色
Light Red,浅红色
Violet,紫色
White,白色
Yellow,黄色
"The major, defining attributes for the character",角色的主要、定义属性
These influence most other attributes in the game,这些属性对游戏中大多数其他属性有很大影响
Cancel,取消
All progress will be lost,所有进度将会丢失
Disable,禁用
Loot,获得战利品
Inv,装备
Container,容器
Drop / Pick Up,丢弃 / 捡起
Get All,全部获取
Transfer Stack,转移堆叠
Transfer Item,转移物品
Unequip,卸下
Place development points in them (gained as you level up) to gain benefits and new Abilities,将成长点投入其中（随着等级提升获得），以获得益处和新能力
Save and Exit,保存并退出
Male Human,男性人类
Woman Human,女性人类
Xp To Go,待完成经验
Active Conditions,活动状态
Move Character,可以通过魔法移除
Can be removed by magic,添加状态标记
Adds Status Tag,仅显示非零值条目
This list will only show entries with non-zero values,
The amount of experience to go until the character levels up,到角色升级所需的经验值
The current level of this character,该角色的当前等级
Cast a spell,施放法术
There are no weapons nearby to attack,周围没有可以攻击的武器
You can't enter combat without enemies within combat range,没有敌人在战斗范围内，你无法进入战斗
You wait a short while,等待片刻
Pass a turn,轮到下一位玩家
View Inventory,查看装备
View the Journal,查看日志
Time,时间
X Pos,X 坐标
Y Pos,Y 坐标
Water blocks your path!,水阻挡了你的道路！
A simple wooden door. (,一扇简单的木门。（
A double wooden door. (,一扇双层木门。（
It cannot be opened from this side. (,生命值
"A massive, reinforced door. (",阴沉黎明
HP,阴雨黎明
Overcast Dawn,阴雨黎明
Raining Dawn,阴雨黎明
Foggy Dawn,雾蒙蒙的黎明
Fog and Rain Dawn,雾雨蒙蒙的黎明
Overcast Day,阴天
Raining Day,雨天
Foggy Day,雾蒙蒙的白天
Fog and Rain Day,雾雨蒙蒙的白天
Raining Day,Raining Day
Overcast Dusk,阴沉的黄昏
Raining Dusk,雨中的黄昏
Fog and Rain Dusk,雾雨蒙蒙的黄昏
Foggy Dusk,雾蒙蒙的黄昏
Overcast Night,阴沉的夜晚
Raining Night,雨夜
Fog and Rain Night,雾雨蒙蒙的夜晚
Foggy Night,雾蒙蒙的夜晚
#Crafting,#制作
{ITEM} ,__PLACEHOLDER_0__
Recipes,食谱
Workstation,工作台
Craft,制作
Clear,清除
You currently don't have any recepies to add to the crafting table,目前你没有任何食谱可以添加到制作台
Try experimenting with ingredients or look for recipes in the world,尝试实验不同的材料或在世界中寻找食谱
An unknown recipe,未知的食谱
"To craft items, you must add ingredients to the crafting grid",要制作物品，必须将材料添加到制作网格
Do this by double-clicking on ingredients from your inventory,从你的库存中双击材料来添加
Clicking a recipe to view ingredients required,点击食谱查看所需材料
Green recipes are available,绿色的食谱可以使用
No crafting ingredients added!,没有添加制作材料！
This is not a valid recipe!,这不是一个有效的食谱！
2d6 +,2d6 +
crafting,制作
Crafted 1 {ITEM},制作了 1 个 __PLACEHOLDER_0__
Crafted 2 {ITEM},制作了 2 个 __PLACEHOLDER_0__
#Skill Checks,#技能检定
STATIC TEST,固定测试
DICE ROLL TEST,骰子检定测试
Roll Dice,投掷骰子
+ 2d6,+ 2d6
must roll,必须投掷
or above on 2d6 to succeed on this,投2d6达到或超过{VALUE}以成功
AGILITY vs,敏捷 vs
FORTITUDE vs,体魄 vs
INTELLECT vs,智力 vs
PRESENCE vs,威严 vs
STRENGTH vs,力量 vs
ATHLETICS vs,运动 vs
AWARENESS vs,觉醒 vs
CRAFTING vs,制作 vs
DIPLOMACY vs,交际 vs
HEALING vs,医疗 vs
LORE vs,知识 vs
STEALTH vs,暗杀 vs
SURVIVAL vs,生存 vs
THIEVERY vs,盗窃 vs
{PLAYER} has a AGILITY score of,{PLAYER}的敏捷值为
{PLAYER} only has a AGILITY score of,{PLAYER}只有敏捷值为
{PLAYER} has a FORTITUDE score of,{PLAYER}的体魄值为
{PLAYER} only has a FORTITUDE score of,{PLAYER}只有体魄值为
{PLAYER} has a INTELLECT score of,{PLAYER}的智力值为
{PLAYER} only has a INTELLECT score of,__PLACEHOLDER_0__ 只有智力值
{PLAYER} has a PRESENCE score of,__PLACEHOLDER_0__ 的魅力值为
{PLAYER} only has a PRESENCE score of,__PLACEHOLDER_0__ 只有魅力值
{PLAYER} has a STRENGTH score of,__PLACEHOLDER_0__ 的力量值为
{PLAYER} only has a STRENGTH score of,__PLACEHOLDER_0__ 只有力量值
{PLAYER} has a ATHLETICS score of,__PLACEHOLDER_0__ 的体能值为
{PLAYER} only has a ATHLETICS score of,__PLACEHOLDER_0__ 只有体能值
{PLAYER} has a AWARENESS score of,__PLACEHOLDER_0__ 的感知值为
{PLAYER} only has a AWARENESS score of,__PLACEHOLDER_0__ 只有感知值
{PLAYER} has a CRAFTING score of,__PLACEHOLDER_0__ 的工艺值为
{PLAYER} only has a CRAFTING score of,__PLACEHOLDER_0__ 只有工艺值
{PLAYER} has a DIPLOMACY score of,__PLACEHOLDER_0__ 的外交值为
{PLAYER} only has a DIPLOMACY score of,__PLACEHOLDER_0__ 只有外交值
{PLAYER} has a HEALING score of,__PLACEHOLDER_0__ 的治疗值为
{PLAYER} only has a HEALING score of,__PLACEHOLDER_0__ 只有治疗值
{PLAYER} has a LORE score of,__PLACEHOLDER_0__ 的知识值为
{PLAYER} only has a LORE score of,__PLACEHOLDER_0__ 只有知识值
{PLAYER} has a STEALTH score of,__PLACEHOLDER_0__ 的潜行值为
{PLAYER} only has a STEALTH score of,__PLACEHOLDER_0__ 只有潜行值
{PLAYER} has a SURVIVAL score of,__PLACEHOLDER_0__ 的生存值为
{PLAYER} only has a SURVIVAL score of,__PLACEHOLDER_0__ 只有生存技能 {SURVIVAL} 分数
{PLAYER} has a THIEVERY score of,__PLACEHOLDER_0__ 有盗贼技能 {THIEVERY} 分数
{PLAYER} only has a THIEVERY score of,__PLACEHOLDER_0__ 只有盗贼技能 {THIEVERY} 分数
vs Difficulty,vs 困难度
Athletics (,体能 (
Awareness (,觉醒 (
Crafting (,制作 (
Diplomacy (,辩论 (
Healing (,医疗 (
Lore (,知识 (
Stealth (,隐形 (
Survival (,生存 (
Thievery (,盗贼技能 (
beats Difficulty (,击败困难度 (
ATHLETICS 4+,体能 4+
ATHLETICS 5+,体能 5+
ATHLETICS 6+,体能 6+
ATHLETICS 7+,体能 7+
ATHLETICS 8+,体能 8+
ATHLETICS 9+,体能 9+
ATHLETICS 10+,体能 10+
AWARENESS 4+,觉醒 4+
AWARENESS 5+,觉醒 5+
AWARENESS 6+,觉醒 6+
AWARENESS 7+,觉醒 7+
AWARENESS 8+,觉醒 8+
AWARENESS 9+,觉醒 9+
AWARENESS 10+,觉醒 10+
CRAFTING 4+,制作 4+
CRAFTING 5+,制作 5+
CRAFTING 6+,制作 6+
CRAFTING 7+,制作 7+
CRAFTING 8+,制作 8+
CRAFTING 9+,制作 9+
CRAFTING 10+,制作 10+
DIPLOMACY 4+,交际 4+
DIPLOMACY 5+,交际 5+
DIPLOMACY 6+,交际 6+
DIPLOMACY 7+,交际 7+
DIPLOMACY 8+,交际 8+
DIPLOMACY 9+,外交 9+
DIPLOMACY 10+,外交 10+
HEALING 4+,治疗 4+
HEALING 5+,治疗 5+
HEALING 6+,治疗 6+
HEALING 7+,治疗 7+
HEALING 8+,治疗 8+
HEALING 9+,治疗 9+
HEALING 10+,治疗 10+
LORE 4+,调查研究 4+
LORE 5+,调查研究 5+
LORE 6+,调查研究 6+
LORE 7+,调查研究 7+
LORE 8+,调查研究 8+
LORE 9+,调查研究 9+
LORE 10+,调查研究 10+
STEALTH 4+,潜行 4+
STEALTH 5+,潜行 5+
STEALTH 6+,潜行 6+
STEALTH 7+,潜行 7+
STEALTH 8+,潜行 8+
STEALTH 9+,潜行 9+
STEALTH 10+,潜行 10+
SURVIVAL 4+,生存 4+
SURVIVAL 5+,生存 5+
SURVIVAL 6+,生存 6+
SURVIVAL 7+,生存 7+
SURVIVAL 8+,生存 8+
SURVIVAL 9+,生存 9+
SURVIVAL 10+,生存 10+
THIEVERY 4+,盗贼技巧 4+
THIEVERY 5+,盗贼技巧 5+
THIEVERY 6+,盗贼技巧 6+
THIEVERY 7+,盗贼技巧 7+
THIEVERY 8+,盗贼技巧 8+
THIEVERY 9+,盗贼技巧 9+
THIEVERY 10+,盗贼技巧 10+
A ATHLETICS score of 4 or higher is required to succeed,至少需要一个体能技巧（Athletics）检定得分为4或更高才能成功
A ATHLETICS score of 5 or higher is required to succeed,至少需要一个体能技巧（Athletics）检定得分为5或更高才能成功
A ATHLETICS score of 6 or higher is required to succeed,至少需要一个体能技巧（Athletics）检定得分为6或更高才能成功
A ATHLETICS score of 7 or higher is required to succeed,体能检定 {ATHLETICS} 得到7或更高的结果才能成功
A ATHLETICS score of 8 or higher is required to succeed,体能检定 {ATHLETICS} 得到8或更高的结果才能成功
A ATHLETICS score of 9 or higher is required to succeed,体能检定 {ATHLETICS} 得到9或更高的结果才能成功
A ATHLETICS score of 10 or higher is required to succeed,体能检定 {ATHLETICS} 得到10或更高的结果才能成功
A AWARENESS score of 4 or higher is required to succeed,觉醒检定 {AWARENESS} 得到4或更高的结果才能成功
A AWARENESS score of 5 or higher is required to succeed,觉醒检定 {AWARENESS} 得到5或更高的结果才能成功
A AWARENESS score of 6 or higher is required to succeed,觉醒检定 {AWARENESS} 得到6或更高的结果才能成功
A AWARENESS score of 7 or higher is required to succeed,觉醒检定 {AWARENESS} 得到7或更高的结果才能成功
A AWARENESS score of 8 or higher is required to succeed,觉醒检定 {AWARENESS} 得到8或更高的结果才能成功
A AWARENESS score of 9 or higher is required to succeed,觉醒检定 {AWARENESS} 得到9或更高的结果才能成功
A AWARENESS score of 10 or higher is required to succeed,觉醒检定 {AWARENESS} 得到10或更高的结果才能成功
A CRAFTING score of 4 or higher is required to succeed,制造检定 {CRAFTING} 得到4或更高的结果才能成功
A CRAFTING score of 5 or higher is required to succeed,制造检定 {CRAFTING} 得到5或更高的结果才能成功
A CRAFTING score of 6 or higher is required to succeed,制造检定 {CRAFTING} 得到6或更高的结果才能成功
A CRAFTING score of 7 or higher is required to succeed,制造检定 {CRAFTING} 得到7或更高的结果才能成功
A CRAFTING score of 8 or higher is required to succeed,制造检定 {CRAFTING} 得到8或更高的结果才能成功
A CRAFTING score of 9 or higher is required to succeed,制造检定 {CRAFTING} 得到9或更高的结果才能成功
A CRAFTING score of 10 or higher is required to succeed,制造检定 {CRAFTING} 得到10或更高的结果才能成功
A DIPLOMACY score of 4 or higher is required to succeed,交际检定 {DIPLOMACY} 得到4或更高的结果才能成功
A DIPLOMACY score of 5 or higher is required to succeed,交际检定 {DIPLOMACY} 得到5或更高的结果才能成功
A DIPLOMACY score of 6 or higher is required to succeed,交际技能（DIPLOMACY）达到6或更高才能成功
A DIPLOMACY score of 7 or higher is required to succeed,交际技能（DIPLOMACY）达到7或更高才能成功
A DIPLOMACY score of 8 or higher is required to succeed,交际技能（DIPLOMACY）达到8或更高才能成功
A DIPLOMACY score of 9 or higher is required to succeed,交际技能（DIPLOMACY）达到9或更高才能成功
A DIPLOMACY score of 10 or higher is required to succeed,交际技能（DIPLOMACY）达到10或更高才能成功
A HEALING score of 4 or higher is required to succeed,治疗技能（HEALING）达到4或更高才能成功
A HEALING score of 5 or higher is required to succeed,治疗技能（HEALING）达到5或更高才能成功
A HEALING score of 6 or higher is required to succeed,治疗技能（HEALING）达到6或更高才能成功
A HEALING score of 7 or higher is required to succeed,治疗技能（HEALING）达到7或更高才能成功
A HEALING score of 8 or higher is required to succeed,治疗技能（HEALING）达到8或更高才能成功
A HEALING score of 9 or higher is required to succeed,治疗技能（HEALING）达到9或更高才能成功
A HEALING score of 10 or higher is required to succeed,治疗技能（HEALING）达到10或更高才能成功
A LORE score of 4 or higher is required to succeed,知识技能（LORE）达到4或更高才能成功
A LORE score of 5 or higher is required to succeed,知识技能（LORE）达到5或更高才能成功
A LORE score of 6 or higher is required to succeed,知识技能（LORE）达到6或更高才能成功
A LORE score of 7 or higher is required to succeed,知识技能（LORE）达到7或更高才能成功
A LORE score of 8 or higher is required to succeed,知识技能（LORE）达到8或更高才能成功
A LORE score of 9 or higher is required to succeed,知识技能（LORE）达到9或更高才能成功
A LORE score of 10 or higher is required to succeed,知识技能（LORE）达到10或更高才能成功
A STEALTH score of 4 or higher is required to succeed,隐形技能（STEALTH）达到4或更高才能成功
A STEALTH score of 5 or higher is required to succeed,机动力（STEALTH）检定10或更高才能成功
A STEALTH score of 6 or higher is required to succeed,机动力（STEALTH）检定11或更高才能成功
A STEALTH score of 7 or higher is required to succeed,机动力（STEALTH）检定12或更高才能成功
A STEALTH score of 8 or higher is required to succeed,机动力（STEALTH）检定13或更高才能成功
A STEALTH score of 9 or higher is required to succeed,机动力（STEALTH）检定14或更高才能成功
A STEALTH score of 10 or higher is required to succeed,机动力（STEALTH）检定15或更高才能成功
A SURVIVAL score of 4 or higher is required to succeed,生存（SURVIVAL）检定9或更高才能成功
A SURVIVAL score of 5 or higher is required to succeed,生存（SURVIVAL）检定10或更高才能成功
A SURVIVAL score of 6 or higher is required to succeed,生存（SURVIVAL）检定11或更高才能成功
A SURVIVAL score of 7 or higher is required to succeed,生存（SURVIVAL）检定12或更高才能成功
A SURVIVAL score of 8 or higher is required to succeed,生存（SURVIVAL）检定13或更高才能成功
A SURVIVAL score of 9 or higher is required to succeed,生存（SURVIVAL）检定14或更高才能成功
A SURVIVAL score of 10 or higher is required to succeed,盗窃（THIEVERY）检定9或更高才能成功
A THIEVERY score of 4 or higher is required to succeed,盗窃（THIEVERY）检定10或更高才能成功
A THIEVERY score of 5 or higher is required to succeed,盗窃（THIEVERY）检定11或更高才能成功
A THIEVERY score of 6 or higher is required to succeed,盗窃（THIEVERY）检定12或更高才能成功
A THIEVERY score of 7 or higher is required to succeed,盗窃（THIEVERY）检定13或更高才能成功
A THIEVERY score of 8 or higher is required to succeed,盗窃（THIEVERY）检定14或更高才能成功
A THIEVERY score of 9 or higher is required to succeed,盗窃（THIEVERY）检定15或更高才能成功
A THIEVERY score of 10 or higher is required to succeed,盗窃（THIEVERY）检定15或更高才能成功
FAIL,失败
this skill check due to having low skill Score versus the Difficulty,由于技能值较低，这项技能检定失败，相对于难度而言
will automatically,将会自动
SUCCEED,成功
